id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
228885,carlitos,-,22/23,2022-08-16,Panathinaikos,Legia Warszawa,2000000,400000
228885,carlitos,-,19/20,2020-01-28,Al-Wahda FC,Panathinaikos,2000000,free transfer
228885,carlitos,-,19/20,2019-09-09,Legia Warszawa,Al-Wahda FC,2500000,1800000
228885,carlitos,-,18/19,2018-07-05,Wisla Kraków,Legia Warszawa,3000000,450000
228885,carlitos,-,17/18,2017-07-01,Villarreal CF B,Wisla Kraków,400000,free transfer
228885,carlitos,-,15/16,2016-05-02,Eldense,Villarreal CF B,0,free transfer
228885,carlitos,-,15/16,2015-07-01,Aris Limassol,Eldense,0,free transfer
228885,carlitos,-,14/15,2015-01-27,Novelda CF,Aris Limassol,0,free transfer
228885,carlitos,-,14/15,2014-09-03,CF Fuenlabrada,Novelda CF,0,free transfer
228885,carlitos,-,13/14,2013-08-01,Petrotrest,CF Fuenlabrada,200000,free transfer
228885,carlitos,-,12/13,2012-08-01,Ontinyent,Petrotrest,0,free transfer
228885,carlitos,-,11/12,2011-07-01,Torrellano,Ontinyent,0,free transfer
228885,carlitos,-,09/10,2009-07-01,Elche U19,Torrellano,0,free transfer
