id,name,season,competition,gamesPlayed,goals,minutes
228885,carlitos,22/23,Ekstraklasa,12,1,821
228885,carlitos,22/23,Fortuna Puchar Polski,2,2,138
228885,carlitos,22/23,UECL Kwalifikacje,1,0,2
228885,carlitos,21/22,Kypello Elladas,5,2,217
228885,carlitos,21/22,SL1 Play-off,8,1,379
228885,carlitos,21/22,Super League 1,22,9,1212
228885,carlitos,20/21,SL1 Play-off,8,0,235
228885,carlitos,20/21,Super League 1,24,6,1254
228885,carlitos,20/21,Kypello Elladas,2,0,109
228885,carlitos,19/20,UAE Pro League,9,5,772
228885,carlitos,19/20,UAE League Cup,4,2,360
228885,carlitos,19/20,Ekstraklasa,2,0,49
228885,carlitos,19/20,Kwalifikacje do Ligi Europy,6,2,368
228885,carlitos,18/19,Ekstraklasa,36,16,2616
228885,carlitos,18/19,Fortuna Puchar Polski,3,1,157
228885,carlitos,18/19,Kwalifikacje do Ligi Europy,2,1,172
228885,carlitos,18/19,Kwalifikacje do Ligi Mistrzów,3,1,153
228885,carlitos,18/19,Superpuchar,1,0,33
228885,carlitos,17/18,Ekstraklasa,36,24,3205
228885,carlitos,17/18,Fortuna Puchar Polski,0,0,0
228885,carlitos,16/17,2ª B - Grupo III,33,13,1837
228885,carlitos,15/16,Ascenso a 2ª,2,0,13
228885,carlitos,15/16,2ª B - Grupo III,2,0,30
228885,carlitos,15/16,2ª B - Grupo III,33,13,2342
228885,carlitos,13/14,2ª B - Grupo II,23,2,825
228885,carlitos,12/13,1.Division,20,2,646
228885,carlitos,12/13,Puchar Rosji,1,0,63
228885,carlitos,11/12,2ª B - Grupo III,29,6,1085
