id,name,season,competition,gamesPlayed,goals
487167,cezary-miszta,2022,3 Liga - Grupa I,4,0
487167,cezary-miszta,2022,Fortuna Puchar Polski,3,0
487167,cezary-miszta,2022,Ekstraklasa,-,0
487167,cezary-miszta,2021,Ekstraklasa,15,0
487167,cezary-miszta,2021,Liga Europy,4,0
487167,cezary-miszta,2021,Fortuna Puchar Polski,3,0
487167,cezary-miszta,2021,3 Liga - Grupa I,3,0
487167,cezary-miszta,2021,Superpuchar,1,0
487167,cezary-miszta,2021,Kwalifikacje do Ligi Europy,-,0
487167,cezary-miszta,2021,Kwalifikacje do Ligi Mistrzów,-,0
487167,cezary-miszta,2020,Ekstraklasa,6,0
487167,cezary-miszta,2020,3 Liga - Grupa I,5,0
487167,cezary-miszta,2020,Fortuna Puchar Polski,3,0
487167,cezary-miszta,2019,Fortuna 1 Liga,11,0
487167,cezary-miszta,2019,3 Liga - Grupa I,3,0
487167,cezary-miszta,2019,Fortuna Puchar Polski,2,0
487167,cezary-miszta,2019,Baraze o udzial w Ekstraklasie,2,0
487167,cezary-miszta,2018,3 Liga - Grupa I,10,0
487167,cezary-miszta,2018,CLJ,6,0
487167,cezary-miszta,2018,Ekstraklasa,-,0
487167,cezary-miszta,2017,CLJ - Grupa Wschodnia,9,0
487167,cezary-miszta,2017,3 Liga - Grupa I,4,0
487167,cezary-miszta,2017,CLJ - Runda Finałowa,1,0
