season,date,sourceTeam,destTeam,marketValue,price
21/22,2021-07-01,Aris Saloniki,Legia Warszawa,1000000,600000
19/20,2019-07-01,FC Lorient,Aris Saloniki,700000,170000
18/19,2019-06-30,Aris Saloniki,FC Lorient,700000,End of loan
18/19,2019-01-24,FC Lorient,Aris Saloniki,800000,loan transfer
16/17,2017-06-30,SC Bastia,FC Lorient,1500000,End of loan
16/17,2017-01-11,FC Lorient,SC Bastia,2000000,loan transfer
16/17,2016-07-01,Olympique Lyon,FC Lorient,2500000,1500000
15/16,2016-06-30,FC Lorient,Olympique Lyon,2500000,End of loan
15/16,2016-01-28,Olympique Lyon,FC Lorient,3500000,loan transfer
14/15,2014-07-17,Valenciennes FC,Olympique Lyon,3000000,1500000
12/13,2013-01-15,Stade Lavallois,Valenciennes FC,1500000,1000000
10/11,2010-07-01,Stade Laval B,Stade Lavallois,0,0
