id,name,season,competition,gamesPlayed,goals,minutes
135490,lindsay-rose,22/23,Ekstraklasa,13,1,862
135490,lindsay-rose,22/23,Fortuna Puchar Polski,3,1,152
135490,lindsay-rose,21/22,Ekstraklasa,19,0,1513
135490,lindsay-rose,21/22,Fortuna Puchar Polski,3,1,246
135490,lindsay-rose,21/22,Liga Europy,0,0,0
135490,lindsay-rose,21/22,3 Liga - Grupa I,1,0,73
135490,lindsay-rose,21/22,Kwalifikacje do Ligi Europy,1,0,45
135490,lindsay-rose,21/22,Kwalifikacje do Ligi Mistrzów,0,0,0
135490,lindsay-rose,21/22,Superpuchar,1,0,58
135490,lindsay-rose,20/21,SL1 Play-off,10,0,861
135490,lindsay-rose,20/21,Super League 1,24,2,2105
135490,lindsay-rose,20/21,Kypello Elladas,4,0,340
135490,lindsay-rose,20/21,Kwalifikacje do Ligi Europy,1,0,90
135490,lindsay-rose,19/20,SL1 Play-off,9,0,776
135490,lindsay-rose,19/20,Kypello Elladas,6,0,568
135490,lindsay-rose,19/20,Super League 1,25,3,2250
135490,lindsay-rose,19/20,Kwalifikacje do Ligi Europy,4,0,390
135490,lindsay-rose,18/19,Super League,13,2,1170
135490,lindsay-rose,18/19,Ligue 2,4,1,197
135490,lindsay-rose,18/19,Coupe de la Ligue,4,0,360
135490,lindsay-rose,18/19,Coupe de France,1,0,90
135490,lindsay-rose,18/19,National 2 - Grp. C,1,0,90
135490,lindsay-rose,17/18,Ligue 2,20,4,1670
135490,lindsay-rose,17/18,Coupe de France,3,0,270
135490,lindsay-rose,17/18,Coupe de la Ligue,2,0,110
135490,lindsay-rose,17/18,National 2 - Grp. D,1,0,90
135490,lindsay-rose,16/17,Ligue 1,9,0,688
135490,lindsay-rose,16/17,Coupe de France,1,0,90
135490,lindsay-rose,16/17,CFA - Grp. A,4,0,360
135490,lindsay-rose,16/17,Ligue 1,3,0,270
135490,lindsay-rose,15/16,Ligue 1,10,0,900
135490,lindsay-rose,15/16,Coupe de France,2,0,180
135490,lindsay-rose,15/16,Ligue 1,1,0,90
135490,lindsay-rose,15/16,Coupe de la Ligue,0,0,0
135490,lindsay-rose,15/16,Liga Mistrzów,0,0,0
135490,lindsay-rose,15/16,Trophée des Champions,0,0,0
135490,lindsay-rose,14/15,Ligue 1,15,0,1210
135490,lindsay-rose,14/15,Coupe de France,1,0,45
135490,lindsay-rose,14/15,Liga Europy,1,0,78
135490,lindsay-rose,14/15,Kwalifikacje do Ligi Europy,1,0,53
135490,lindsay-rose,13/14,Ligue 1,9,0,765
135490,lindsay-rose,12/13,Ligue 1,15,1,1128
135490,lindsay-rose,12/13,Ligue 2,17,0,1458
135490,lindsay-rose,12/13,Coupe de France,1,0,90
135490,lindsay-rose,12/13,Coupe de la Ligue,1,0,120
135490,lindsay-rose,11/12,Ligue 2,29,2,2598
135490,lindsay-rose,11/12,Coupe de France,2,0,129
135490,lindsay-rose,11/12,Coupe de la Ligue,1,0,90
135490,lindsay-rose,10/11,Ligue 2,22,1,1682
135490,lindsay-rose,10/11,Coupe de France,1,0,90
135490,lindsay-rose,10/11,Coupe de la Ligue,0,0,0
135490,lindsay-rose,09/10,Ligue 2,1,0,90
