id,name,season,competition,gamesPlayed,goals
284871,patryk-sokolowski,2022,Ekstraklasa,9,0
284871,patryk-sokolowski,2022,Fortuna Puchar Polski,2,0
284871,patryk-sokolowski,2021,Ekstraklasa,33,7
284871,patryk-sokolowski,2021,Fortuna Puchar Polski,3,0
284871,patryk-sokolowski,2020,Ekstraklasa,29,2
284871,patryk-sokolowski,2020,Fortuna Puchar Polski,4,0
284871,patryk-sokolowski,2020,Kwalifikacje do Ligi Europy,3,1
284871,patryk-sokolowski,2019,Ekstraklasa,35,0
284871,patryk-sokolowski,2019,Kwalifikacje do Ligi Europy,2,0
284871,patryk-sokolowski,2019,Fortuna Puchar Polski,2,0
284871,patryk-sokolowski,2019,Kwalifikacje do Ligi Mistrzów,1,0
284871,patryk-sokolowski,2019,Superpuchar,1,1
284871,patryk-sokolowski,2018,Ekstraklasa,12,1
284871,patryk-sokolowski,2018,Fortuna Puchar Polski,2,1
284871,patryk-sokolowski,2017,Fortuna 1 Liga,32,1
284871,patryk-sokolowski,2017,Fortuna Puchar Polski,1,0
284871,patryk-sokolowski,2016,eWinner 2 liga,31,1
