id,name,dates,marketValue
101070,andrzej-niewulis,2009-09-07,100000
101070,andrzej-niewulis,2010-11-09,125000
101070,andrzej-niewulis,2011-05-24,100000
101070,andrzej-niewulis,2012-11-29,100000
101070,andrzej-niewulis,2013-07-21,100000
101070,andrzej-niewulis,2015-03-23,50000
101070,andrzej-niewulis,2015-06-29,100000
101070,andrzej-niewulis,2016-01-16,0
101070,andrzej-niewulis,2016-09-03,100000
101070,andrzej-niewulis,2017-03-01,100000
101070,andrzej-niewulis,2017-08-15,100000
101070,andrzej-niewulis,2018-01-24,100000
101070,andrzej-niewulis,2018-07-02,100000
101070,andrzej-niewulis,2019-02-20,125000
101070,andrzej-niewulis,2019-06-28,300000
101070,andrzej-niewulis,2020-01-14,150000
101070,andrzej-niewulis,2021-01-18,150000
101070,andrzej-niewulis,2021-05-20,250000
101070,andrzej-niewulis,2021-10-14,350000
101070,andrzej-niewulis,2021-12-30,350000
101070,andrzej-niewulis,2022-06-13,350000
101070,andrzej-niewulis,2022-09-28,200000
101070,andrzej-niewulis,2022-11-15,150000
