id,name,dates,marketValue
189740,angelo-henriquez,2011-12-24,150000
189740,angelo-henriquez,2012-09-08,5000000
189740,angelo-henriquez,2013-01-27,4000000
189740,angelo-henriquez,2013-07-01,3000000
189740,angelo-henriquez,2013-10-07,3000000
189740,angelo-henriquez,2014-02-05,2800000
189740,angelo-henriquez,2014-08-11,2500000
189740,angelo-henriquez,2014-09-30,2500000
189740,angelo-henriquez,2015-03-16,3500000
189740,angelo-henriquez,2015-09-13,5500000
189740,angelo-henriquez,2016-03-13,5000000
189740,angelo-henriquez,2016-09-13,4000000
189740,angelo-henriquez,2017-03-12,3000000
189740,angelo-henriquez,2017-10-22,3000000
189740,angelo-henriquez,2018-04-09,1800000
189740,angelo-henriquez,2019-05-21,1600000
189740,angelo-henriquez,2019-12-06,1200000
189740,angelo-henriquez,2020-04-07,950000
189740,angelo-henriquez,2020-11-09,950000
189740,angelo-henriquez,2021-03-10,700000
189740,angelo-henriquez,2021-06-10,700000
189740,angelo-henriquez,2021-12-16,700000
189740,angelo-henriquez,2022-04-05,700000
189740,angelo-henriquez,2022-09-28,850000
189740,angelo-henriquez,2022-11-15,700000
