id,name,season,competition,gamesPlayed,goals
399779,chuca,2022,Ekstraklasa,17,3
399779,chuca,2022,Fortuna Puchar Polski,1,0
399779,chuca,2021,Fortuna 1 Liga,23,5
399779,chuca,2021,Fortuna Puchar Polski,1,0
399779,chuca,2020,Ekstraklasa,13,3
399779,chuca,2020,Fortuna Puchar Polski,1,1
399779,chuca,2019,Ekstraklasa,25,2
399779,chuca,2018,2ª B - Grupo III,12,0
399779,chuca,2018,LaLiga2,6,0
399779,chuca,2018,Puchar Króla,1,0
399779,chuca,2018,Promoción LaLiga2,1,0
399779,chuca,2017,2ª B - Grupo III,27,6
399779,chuca,2017,Promoción LaLiga2,5,0
399779,chuca,2017,LaLiga,4,0
399779,chuca,2017,Liga Europy,2,0
399779,chuca,2017,Puchar Króla,2,0
399779,chuca,2016,2ª B - Grupo III,7,0
399779,chuca,2015,2ª B - Grupo III,3,0
399779,chuca,2015,Liga Młodzieżowa UEFA,2,0
