id,name,season,competition,gamesPlayed,goals,minutes
89726,jon-aurtenetxe,22/23,Ekstraklasa,8,0,515
89726,jon-aurtenetxe,22/23,Fortuna Puchar Polski,1,0,90
89726,jon-aurtenetxe,21/22,1 Liga,32,1,2880
89726,jon-aurtenetxe,20/21,2ª B - Fase de descenso,8,1,640
89726,jon-aurtenetxe,20/21,2ª B - Grupo V,8,0,576
89726,jon-aurtenetxe,19/20,Ascenso LaLiga2,1,0,90
89726,jon-aurtenetxe,19/20,2ª B - Grupo I,22,0,1638
89726,jon-aurtenetxe,19/20,Puchar Króla,0,0,0
89726,jon-aurtenetxe,18/19,2ª B - Grupo II,16,2,1440
89726,jon-aurtenetxe,17/18,Premiership Abstiegsr.,0,0,0
89726,jon-aurtenetxe,17/18,Premiership,16,0,1286
89726,jon-aurtenetxe,17/18,SFA Cup,1,0,90
89726,jon-aurtenetxe,17/18,League Cup,0,0,0
89726,jon-aurtenetxe,17/18,2ª B - Grupo II,2,0,180
89726,jon-aurtenetxe,16/17,LaLiga 1|2|3,17,1,1320
89726,jon-aurtenetxe,16/17,Puchar Króla,1,1,120
89726,jon-aurtenetxe,15/16,LaLiga2,23,0,1748
89726,jon-aurtenetxe,15/16,Puchar Króla,1,0,90
89726,jon-aurtenetxe,14/15,LaLiga,4,0,286
89726,jon-aurtenetxe,14/15,Liga Europy,1,0,57
89726,jon-aurtenetxe,14/15,Puchar Króla,2,0,180
89726,jon-aurtenetxe,14/15,Liga Mistrzów,0,0,0
89726,jon-aurtenetxe,13/14,LaLiga,20,0,1560
89726,jon-aurtenetxe,12/13,LaLiga,27,1,2021
89726,jon-aurtenetxe,12/13,Puchar Króla,2,0,180
89726,jon-aurtenetxe,12/13,Liga Europy,2,0,135
89726,jon-aurtenetxe,11/12,Puchar Króla,9,1,810
89726,jon-aurtenetxe,11/12,Liga Europy,14,2,1121
89726,jon-aurtenetxe,11/12,LaLiga,31,1,2498
89726,jon-aurtenetxe,10/11,2ª B - Grupo II,3,0,255
89726,jon-aurtenetxe,10/11,LaLiga,10,0,806
89726,jon-aurtenetxe,10/11,Puchar Króla,2,0,92
89726,jon-aurtenetxe,09/10,Liga Europy,1,0,90
