id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
528369,maciej,sliwa,22/23,Ekstraklasa,8,1,249
528369,maciej,sliwa,22/23,3 Liga - Grupa III,2,0,165
528369,maciej,sliwa,22/23,Fortuna Puchar Polski,1,0,69
528369,maciej,sliwa,21/22,1 Liga,32,5,2291
528369,maciej,sliwa,21/22,Fortuna Puchar Polski,1,1,61
528369,maciej,sliwa,20/21,1 Liga,21,0,591
528369,maciej,sliwa,20/21,3 Liga - Grupa III,3,1,250
528369,maciej,sliwa,20/21,Fortuna Puchar Polski,1,0,60
528369,maciej,sliwa,19/20,Baraze o udzial w Ekstraklasie,1,1,19
528369,maciej,sliwa,19/20,1 Liga,23,1,975
528369,maciej,sliwa,19/20,Fortuna Puchar Polski,4,0,285
528369,maciej,sliwa,19/20,3 Liga - Grupa III,3,0,185
528369,maciej,sliwa,18/19,CLJ,23,1,1936
528369,maciej,sliwa,18/19,Ekstraklasa,5,1,161
528369,maciej,sliwa,18/19,Fortuna Puchar Polski,0,0,0
528369,maciej,sliwa,17/18,CLJ - Grupa Wschodnia,26,4,1536
