id,name,season,competition,gamesPlayed,goals
217529,mateusz-abramowicz,2022,Ekstraklasa,9,0
217529,mateusz-abramowicz,2022,3 Liga - Grupa III,2,0
217529,mateusz-abramowicz,2022,Fortuna Puchar Polski,1,0
217529,mateusz-abramowicz,2021,3 Liga - Grupa III,6,0
217529,mateusz-abramowicz,2021,Fortuna 1 Liga,3,0
217529,mateusz-abramowicz,2021,Fortuna Puchar Polski,2,0
217529,mateusz-abramowicz,2020,Regionalliga Südwest,19,0
217529,mateusz-abramowicz,2020,Hessenpokal,1,0
217529,mateusz-abramowicz,2019,Fortuna 1 Liga,2,0
217529,mateusz-abramowicz,2019,Fortuna Puchar Polski,1,0
217529,mateusz-abramowicz,2018,Fortuna 1 Liga,33,0
217529,mateusz-abramowicz,2018,Fortuna Puchar Polski,1,0
217529,mateusz-abramowicz,2017,Fortuna 1 Liga,15,0
217529,mateusz-abramowicz,2017,Fortuna Puchar Polski,1,0
217529,mateusz-abramowicz,2016,Fortuna 1 Liga,21,0
217529,mateusz-abramowicz,2016,Fortuna Puchar Polski,-,0
217529,mateusz-abramowicz,2015,Ekstraklasa,10,0
217529,mateusz-abramowicz,2015,Fortuna Puchar Polski,-,0
217529,mateusz-abramowicz,2014,Ekstraklasa,-,0
217529,mateusz-abramowicz,2013,Fortuna Puchar Polski,1,0
217529,mateusz-abramowicz,2013,2 Liga - Grupa zachodnia,1,0
217529,mateusz-abramowicz,2013,Fortuna 1 Liga,-,0
217529,mateusz-abramowicz,2012,2 Liga - Grupa zachodnia,26,0
217529,mateusz-abramowicz,2011,Fortuna Puchar Polski,2,0
