id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
483487,mehdi,lehaire,22/23,Fortuna 1 Liga,2,0,180
483487,mehdi,lehaire,22/23,Ekstraklasa,7,0,101
483487,mehdi,lehaire,22/23,3 Liga - Grupa III,3,1,195
483487,mehdi,lehaire,22/23,Fortuna Puchar Polski,1,0,90
483487,mehdi,lehaire,21/22,1 Liga,28,2,1384
483487,mehdi,lehaire,21/22,Fortuna Puchar Polski,1,1,70
483487,mehdi,lehaire,20/21,1 Liga,20,2,603
483487,mehdi,lehaire,20/21,3 Liga - Grupa III,6,0,540
483487,mehdi,lehaire,19/20,Keuken Kampioen Divisie,0,0,0
483487,mehdi,lehaire,18/19,Keuken Kampioen Divisie,19,1,1008
483487,mehdi,lehaire,18/19,U19 Eerste Divisie,2,0,163
483487,mehdi,lehaire,18/19,Runda U19 Eredivisie,6,1,521
483487,mehdi,lehaire,17/18,JPL Playoff II,1,0,7
483487,mehdi,lehaire,16/17,JPL Playoff II,1,0,33
