id,name,season,competition,gamesPlayed,goals,minutes
144695,nemanja-mijuskovic,22/23,Ekstraklasa,15,0,1317
144695,nemanja-mijuskovic,21/22,1 Liga,32,6,2840
144695,nemanja-mijuskovic,21/22,Fortuna Puchar Polski,2,1,210
144695,nemanja-mijuskovic,20/21,1 Liga,22,4,1975
144695,nemanja-mijuskovic,20/21,Fortuna Puchar Polski,1,0,90
144695,nemanja-mijuskovic,19/20,Baraze o udzial w Ekstraklasie,1,0,90
144695,nemanja-mijuskovic,19/20,1 Liga,28,2,2441
144695,nemanja-mijuskovic,19/20,Fortuna Puchar Polski,2,0,210
144695,nemanja-mijuskovic,18/19,Liga 1 - Relegation group,10,0,613
144695,nemanja-mijuskovic,18/19,Liga 1,20,0,1519
144695,nemanja-mijuskovic,18/19,Cupa României,2,0,180
144695,nemanja-mijuskovic,17/18,Premier Liga,2,0,180
144695,nemanja-mijuskovic,17/18,Puchar Rosji,0,0,0
144695,nemanja-mijuskovic,2017,Premier Liga,27,1,2290
144695,nemanja-mijuskovic,16/17,Prva liga,4,1,193
144695,nemanja-mijuskovic,16/17,Kwalifikacje do Ligi Mistrzów,1,0,90
144695,nemanja-mijuskovic,15/16,Prva liga,22,1,1971
144695,nemanja-mijuskovic,15/16,Kwalifikacje do Ligi Mistrzów,2,0,180
144695,nemanja-mijuskovic,14/15,Meridianbet 1. CFL,28,4,2508
144695,nemanja-mijuskovic,13/14,Meridianbet 1. CFL,30,0,2655
144695,nemanja-mijuskovic,13/14,Kwalifikacje do Ligi Europy,1,0,65
144695,nemanja-mijuskovic,12/13,Premijer Liga,2,0,96
144695,nemanja-mijuskovic,11/12,U19 M-Liga,11,0,928
144695,nemanja-mijuskovic,10/11,U19 M-Liga,7,0,509
144695,nemanja-mijuskovic,10/11,U19 M-Liga,14,0,848
144695,nemanja-mijuskovic,09/10,U19 M-Liga,25,0,2193
144695,nemanja-mijuskovic,09/10,Premier Liga,0,0,0
