id,name,dates,marketValue
286643,constantin-reiner,2018-01-07,125000
286643,constantin-reiner,2018-06-12,125000
286643,constantin-reiner,2018-11-30,200000
286643,constantin-reiner,2019-05-31,200000
286643,constantin-reiner,2019-12-02,250000
286643,constantin-reiner,2020-07-30,350000
286643,constantin-reiner,2020-12-20,400000
286643,constantin-reiner,2021-06-01,400000
286643,constantin-reiner,2021-12-15,400000
286643,constantin-reiner,2022-04-06,300000
286643,constantin-reiner,2022-06-13,300000
286643,constantin-reiner,2022-09-28,500000
286643,constantin-reiner,2022-11-15,400000
