id,name,season,competition,gamesPlayed,goals
240458,grzegorz-tomasiewicz,2022,Ekstraklasa,18,0
240458,grzegorz-tomasiewicz,2022,Fortuna Puchar Polski,3,0
240458,grzegorz-tomasiewicz,2021,Ekstraklasa,33,8
240458,grzegorz-tomasiewicz,2021,Fortuna Puchar Polski,1,0
240458,grzegorz-tomasiewicz,2020,Ekstraklasa,29,3
240458,grzegorz-tomasiewicz,2020,Fortuna Puchar Polski,1,0
240458,grzegorz-tomasiewicz,2019,Fortuna 1 Liga,34,3
240458,grzegorz-tomasiewicz,2019,Fortuna Puchar Polski,4,0
240458,grzegorz-tomasiewicz,2018,Fortuna 1 Liga,32,5
240458,grzegorz-tomasiewicz,2018,Fortuna Puchar Polski,1,0
240458,grzegorz-tomasiewicz,2017,Fortuna 1 Liga,33,6
240458,grzegorz-tomasiewicz,2017,Baraże o udział w 1 lidze,2,0
240458,grzegorz-tomasiewicz,2017,Fortuna Puchar Polski,1,1
240458,grzegorz-tomasiewicz,2016,Fortuna 1 Liga,33,4
240458,grzegorz-tomasiewicz,2016,Fortuna Puchar Polski,2,2
240458,grzegorz-tomasiewicz,2015,Fortuna 1 Liga,15,1
240458,grzegorz-tomasiewicz,2015,Fortuna Puchar Polski,1,0
240458,grzegorz-tomasiewicz,2014,Fortuna 1 Liga,3,0
240458,grzegorz-tomasiewicz,2014,Superpuchar,-,0
240458,grzegorz-tomasiewicz,2013,CLJ - Runda Finałowa,2,1
240458,grzegorz-tomasiewicz,2012,15,28.08.2012,D
240458,grzegorz-tomasiewicz,2012,16,29.08.2012,D
240458,grzegorz-tomasiewicz,2012,16,31.08.2012,D
240458,grzegorz-tomasiewicz,2011,17,05.05.2012,W
