id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
528414,michael,ameyaw,22/23,Ekstraklasa,15,2,553
528414,michael,ameyaw,22/23,Fortuna Puchar Polski,3,0,176
528414,michael,ameyaw,21/22,Ekstraklasa,18,1,418
528414,michael,ameyaw,21/22,Fortuna Puchar Polski,3,0,222
528414,michael,ameyaw,20/21,1 Liga,27,2,1559
528414,michael,ameyaw,20/21,Fortuna Puchar Polski,2,0,48
528414,michael,ameyaw,19/20,Baraże o udział w 1 lidze,1,0,120
528414,michael,ameyaw,19/20,eWinner 2 liga,13,2,1088
528414,michael,ameyaw,19/20,eWinner 2 liga,16,0,516
528414,michael,ameyaw,19/20,Fortuna Puchar Polski,0,0,0
528414,michael,ameyaw,18/19,eWinner 2 liga,18,0,767
528414,michael,ameyaw,17/18,CLJ - Grupa Wschodnia,22,9,1522
