id,name,season,competition,gamesPlayed,goals
181612,tomas-huk,2022,Ekstraklasa,1,0
181612,tomas-huk,2021,Ekstraklasa,29,2
181612,tomas-huk,2021,Fortuna Puchar Polski,3,0
181612,tomas-huk,2020,Ekstraklasa,24,0
181612,tomas-huk,2020,Fortuna Puchar Polski,5,0
181612,tomas-huk,2020,Kwalifikacje do Ligi Europy,3,0
181612,tomas-huk,2019,Ekstraklasa,14,0
181612,tomas-huk,2019,Fortuna Puchar Polski,4,0
181612,tomas-huk,2019,Superpuchar,1,0
181612,tomas-huk,2019,Kwalifikacje do Ligi Europy,-,0
181612,tomas-huk,2019,Kwalifikacje do Ligi Mistrzów,-,0
181612,tomas-huk,2018,Fortuna Liga,21,1
181612,tomas-huk,2018,Fort. Liga - Champ. G.,9,0
181612,tomas-huk,2018,Kwalifikacje do Ligi Europy,4,0
181612,tomas-huk,2018,Slovnaft Cup,2,0
181612,tomas-huk,2017,Fortuna Liga,22,1
181612,tomas-huk,2017,Fort. Liga - Champ. G.,9,0
181612,tomas-huk,2017,Slovnaft Cup,3,0
181612,tomas-huk,2016,Fortuna Liga,28,0
181612,tomas-huk,2016,Slovnaft Cup,4,1
181612,tomas-huk,2015,Fortuna Liga,14,0
181612,tomas-huk,2015,II. Liga East,12,0
181612,tomas-huk,2015,Slovnaft Cup,1,1
181612,tomas-huk,2014,Fortuna Liga,25,3
181612,tomas-huk,2014,II. Liga East,3,0
181612,tomas-huk,2014,Slovnaft Cup,2,0
181612,tomas-huk,2014,Kwalifikacje do Ligi Europy,-,0
181612,tomas-huk,2013,Fortuna Liga,10,0
181612,tomas-huk,2013,Slovnaft Cup,3,0
181612,tomas-huk,2012,Fortuna Liga,4,0
181612,tomas-huk,2012,Slovnaft Cup,2,0
181612,tomas-huk,2011,45,23.05.2012,W
181612,tomas-huk,2011,20,26.05.2012,W
181612,tomas-huk,2010,Runda kwalifikacyjna,14.03.2011,W
181612,tomas-huk,2009,4,03.03.2010,W
181612,tomas-huk,2009,27,01.06.2010,D
