id,name,season,competition,gamesPlayed,goals
266250,tomasz-mokwa,2022,Ekstraklasa,9,0
266250,tomasz-mokwa,2022,Fortuna Puchar Polski,2,0
266250,tomasz-mokwa,2021,Ekstraklasa,3,0
266250,tomasz-mokwa,2021,Fortuna Puchar Polski,2,0
266250,tomasz-mokwa,2020,Ekstraklasa,4,0
266250,tomasz-mokwa,2020,Fortuna Puchar Polski,1,0
266250,tomasz-mokwa,2020,Kwalifikacje do Ligi Europy,-,0
266250,tomasz-mokwa,2019,Ekstraklasa,7,0
266250,tomasz-mokwa,2019,Fortuna Puchar Polski,3,0
266250,tomasz-mokwa,2019,Superpuchar,1,0
266250,tomasz-mokwa,2019,Kwalifikacje do Ligi Europy,-,0
266250,tomasz-mokwa,2019,Kwalifikacje do Ligi Mistrzów,-,0
266250,tomasz-mokwa,2018,Ekstraklasa,5,0
266250,tomasz-mokwa,2018,Fortuna Puchar Polski,2,0
266250,tomasz-mokwa,2017,Fortuna 1 Liga,6,0
266250,tomasz-mokwa,2016,Ekstraklasa,19,1
266250,tomasz-mokwa,2016,Kwalifikacje do Ligi Europy,2,0
266250,tomasz-mokwa,2016,Fortuna Puchar Polski,-,0
266250,tomasz-mokwa,2015,Ekstraklasa,20,1
266250,tomasz-mokwa,2015,Fortuna Puchar Polski,1,0
266250,tomasz-mokwa,2014,Ekstraklasa,13,0
266250,tomasz-mokwa,2014,Fortuna Puchar Polski,4,0
266250,tomasz-mokwa,2013,Fortuna 1 Liga,28,0
266250,tomasz-mokwa,2012,2 Liga - Grupa zachodnia,33,2
