id,name,season,competition,gamesPlayed,goals,minutes
83616,benedikt-zech,22/23,Ekstraklasa,18,0,1573
83616,benedikt-zech,22/23,Fortuna Puchar Polski,1,0,90
83616,benedikt-zech,22/23,UECL Kwalifikacje,4,0,360
83616,benedikt-zech,21/22,Ekstraklasa,24,0,1985
83616,benedikt-zech,21/22,UECL Kwalifikacje,2,0,180
83616,benedikt-zech,20/21,Ekstraklasa,27,0,2388
83616,benedikt-zech,20/21,Fortuna Puchar Polski,2,0,210
83616,benedikt-zech,19/20,Ekstraklasa,31,0,2685
83616,benedikt-zech,19/20,Fortuna Puchar Polski,2,1,180
83616,benedikt-zech,18/19,Bundesliga,29,1,2605
83616,benedikt-zech,18/19,ÖFB-Cup,2,0,180
83616,benedikt-zech,17/18,Bundesliga,29,0,2524
83616,benedikt-zech,17/18,ÖFB-Cup,1,0,90
83616,benedikt-zech,17/18,Kwalifikacje do Ligi Europy,8,0,720
83616,benedikt-zech,16/17,Bundesliga,27,0,2385
83616,benedikt-zech,16/17,Regionalliga West,3,0,270
83616,benedikt-zech,16/17,ÖFB-Cup,1,0,90
83616,benedikt-zech,15/16,Bundesliga,29,0,2519
83616,benedikt-zech,15/16,ÖFB-Cup,2,1,120
83616,benedikt-zech,15/16,Kwalifikacje do Ligi Europy,4,0,360
83616,benedikt-zech,14/15,Bundesliga,14,1,1109
83616,benedikt-zech,14/15,ÖFB-Cup,1,0,45
83616,benedikt-zech,13/14,Erste Liga,34,1,3060
83616,benedikt-zech,13/14,ÖFB-Cup,2,0,180
83616,benedikt-zech,12/13,Erste Liga,25,0,2126
83616,benedikt-zech,12/13,ÖFB-Cup,2,0,210
83616,benedikt-zech,11/12,Erste Liga,29,1,2398
83616,benedikt-zech,11/12,ÖFB-Cup,3,1,270
83616,benedikt-zech,10/11,ÖFB-Cup,3,0,270
83616,benedikt-zech,10/11,Erste Liga,14,0,649
83616,benedikt-zech,09/10,Erste Liga,14,2,702
83616,benedikt-zech,09/10,ÖFB-Cup,2,0,210
83616,benedikt-zech,08/09,ÖFB Jugendliga U19 (- 2010),21,6,1890
83616,benedikt-zech,07/08,ÖFB Jugendliga U19 (- 2010),23,1,1495
83616,benedikt-zech,06/07,ÖFB Jugendliga U19 (- 2010),1,0,6
