id,name,season,competition,gamesPlayed,goals,minutes
143118,damian-dabrowski,22/23,Ekstraklasa,19,3,1660
143118,damian-dabrowski,22/23,Fortuna Puchar Polski,2,0,210
143118,damian-dabrowski,22/23,UECL Kwalifikacje,4,0,360
143118,damian-dabrowski,21/22,Ekstraklasa,29,1,2530
143118,damian-dabrowski,21/22,Fortuna Puchar Polski,1,0,90
143118,damian-dabrowski,21/22,UECL Kwalifikacje,2,0,180
143118,damian-dabrowski,20/21,Ekstraklasa,26,0,2146
143118,damian-dabrowski,20/21,Fortuna Puchar Polski,3,0,235
143118,damian-dabrowski,19/20,Ekstraklasa,26,0,1864
143118,damian-dabrowski,19/20,3 Liga - Grupa II,1,0,90
143118,damian-dabrowski,19/20,Fortuna Puchar Polski,2,0,180
143118,damian-dabrowski,19/20,Ekstraklasa,0,0,0
143118,damian-dabrowski,19/20,Kwalifikacje do Ligi Europy,2,0,156
143118,damian-dabrowski,18/19,Ekstraklasa,24,0,1662
143118,damian-dabrowski,18/19,Fortuna Puchar Polski,1,0,55
143118,damian-dabrowski,17/18,Ekstraklasa,3,0,70
143118,damian-dabrowski,16/17,Ekstraklasa,31,4,2646
143118,damian-dabrowski,16/17,Kwalifikacje do Ligi Europy,2,0,135
143118,damian-dabrowski,15/16,Ekstraklasa,25,1,2228
143118,damian-dabrowski,15/16,Fortuna Puchar Polski,3,0,206
143118,damian-dabrowski,14/15,Ekstraklasa,36,1,2766
143118,damian-dabrowski,14/15,Fortuna Puchar Polski,3,0,202
143118,damian-dabrowski,13/14,Ekstraklasa,31,2,2687
143118,damian-dabrowski,12/13,1 Liga,25,0,1506
143118,damian-dabrowski,12/13,Fortuna Puchar Polski,1,0,120
143118,damian-dabrowski,11/12,1 Liga,11,1,827
143118,damian-dabrowski,11/12,Ekstraklasa,9,0,523
143118,damian-dabrowski,11/12,Fortuna Puchar Polski,1,0,63
143118,damian-dabrowski,10/11,Ekstraklasa,16,0,1357
143118,damian-dabrowski,09/10,Ekstraklasa,2,0,0
