id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
86635,dante,stipica,19/20,2019-07-01,CSKA-Sofia,Pogon Szczecin,600000,free transfer
86635,dante,stipica,18/19,2018-07-01,Hajduk Split,CSKA-Sofia,600000,free transfer
86635,dante,stipica,12/13,2013-06-30,Primorac 1929,Hajduk Split,50000,End of loan
86635,dante,stipica,12/13,2012-08-15,Hajduk Split,Primorac 1929,50000,loan transfer
86635,dante,stipica,10/11,2011-06-30,Zmaj Makarska,Hajduk Split,0,End of loan
86635,dante,stipica,10/11,2011-01-31,Hajduk Split,Zmaj Makarska,0,loan transfer
86635,dante,stipica,10/11,2010-12-31,NK Solin,Hajduk Split,0,End of loan
86635,dante,stipica,10/11,2010-08-13,Hajduk U19,NK Solin,0,loan transfer
86635,dante,stipica,08/09,2009-06-30,Kastel Gomlica,Hajduk U19,0,End of loan
86635,dante,stipica,08/09,2009-01-31,Hajduk U19,Kastel Gomlica,0,loan transfer
