id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
86635,dante,stipica,22/23,Ekstraklasa,18,0,2
86635,dante,stipica,22/23,Fortuna Puchar Polski,0,0,0
86635,dante,stipica,22/23,UECL Kwalifikacje,4,0,0
86635,dante,stipica,21/22,Ekstraklasa,34,0,10
86635,dante,stipica,21/22,Fortuna Puchar Polski,0,0,0
86635,dante,stipica,21/22,UECL Kwalifikacje,2,0,1
86635,dante,stipica,20/21,Ekstraklasa,30,0,17
86635,dante,stipica,20/21,Fortuna Puchar Polski,2,0,0
86635,dante,stipica,19/20,Ekstraklasa,37,0,14
86635,dante,stipica,19/20,Fortuna Puchar Polski,0,0,0
86635,dante,stipica,18/19,Efbet liga - Championship gr.,1,0,0
86635,dante,stipica,18/19,Bulgarian Cup,2,0,1
86635,dante,stipica,18/19,efbet Liga,1,0,1
86635,dante,stipica,18/19,Kwalifikacje do Ligi Europy,0,0,0
86635,dante,stipica,17/18,Hrvatski nogometni kup,2,0,0
86635,dante,stipica,17/18,SuperSport HNL,17,0,4
86635,dante,stipica,17/18,Kwalifikacje do Ligi Europy,6,0,3
86635,dante,stipica,16/17,1.HNL,23,0,10
86635,dante,stipica,16/17,Hrvatski nogometni kup,1,0,0
86635,dante,stipica,16/17,Kwalifikacje do Ligi Europy,2,0,0
86635,dante,stipica,15/16,SuperSport HNL,1,0,1
86635,dante,stipica,15/16,Hrvatski nogometni kup,2,0,0
86635,dante,stipica,15/16,Kwalifikacje do Ligi Europy,0,0,0
86635,dante,stipica,14/15,SuperSport HNL,2,0,0
86635,dante,stipica,14/15,Hrvatski nogometni kup,1,0,1
86635,dante,stipica,14/15,Liga Europy,0,0,0
86635,dante,stipica,14/15,Kwalifikacje do Ligi Europy,3,0,1
86635,dante,stipica,13/14,SuperSport HNL,7,0,2
86635,dante,stipica,13/14,Hrvatski nogometni kup,3,0,0
86635,dante,stipica,13/14,Kwalifikacje do Ligi Europy,0,0,0
86635,dante,stipica,12/13,Prva NL,27,0,7
86635,dante,stipica,12/13,Kwalifikacje do Ligi Europy,0,0,0
86635,dante,stipica,11/12,SuperSport HNL,0,0,0
86635,dante,stipica,09/10,SuperSport HNL,1,0,0
