id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
37920,kamil,grosicki,21/22,2021-08-21,West Brom,Pogon Szczecin,1000000,free transfer
37920,kamil,grosicki,19/20,2020-01-31,Hull City,West Brom,4000000,950000
37920,kamil,grosicki,16/17,2017-01-31,Rennes,Hull City,6000000,9000000
37920,kamil,grosicki,13/14,2014-01-29,Sivasspor,Rennes,3800000,800000
37920,kamil,grosicki,10/11,2011-01-10,Jagiellonia,Sivasspor,1600000,900000
37920,kamil,grosicki,09/10,2009-07-01,Legia Warszawa,Jagiellonia,450000,110000
37920,kamil,grosicki,08/09,2009-06-30,Jagiellonia,Legia Warszawa,450000,End of loan
37920,kamil,grosicki,08/09,2009-01-01,Legia Warszawa,Jagiellonia,450000,Loan
37920,kamil,grosicki,08/09,2008-09-03,FC Sion,Legia Warszawa,450000,End of loan
37920,kamil,grosicki,07/08,2008-02-14,Legia Warszawa,FC Sion,300000,Loan
37920,kamil,grosicki,07/08,2007-07-01,Pogon Szczecin,Legia Warszawa,200000,225000
37920,kamil,grosicki,06/07,2006-07-01,Pogon II,Pogon Szczecin,50000,0
37920,kamil,grosicki,04/05,2005-01-01,Pogon U19,Pogon II,0,0
