id,name,dates,marketValue
249125,linus-wahlqvist,2013-08-06,50000
249125,linus-wahlqvist,2014-06-29,250000
249125,linus-wahlqvist,2015-04-10,325000
249125,linus-wahlqvist,2015-06-13,600000
249125,linus-wahlqvist,2015-11-28,800000
249125,linus-wahlqvist,2016-06-16,900000
249125,linus-wahlqvist,2016-12-10,1000000
249125,linus-wahlqvist,2017-06-19,1100000
249125,linus-wahlqvist,2017-11-16,1200000
249125,linus-wahlqvist,2018-06-19,1200000
249125,linus-wahlqvist,2019-01-07,1250000
249125,linus-wahlqvist,2019-06-11,1250000
249125,linus-wahlqvist,2019-12-12,900000
249125,linus-wahlqvist,2020-04-07,725000
249125,linus-wahlqvist,2020-12-09,900000
249125,linus-wahlqvist,2021-06-08,1000000
249125,linus-wahlqvist,2021-12-16,1000000
249125,linus-wahlqvist,2022-06-23,1200000
249125,linus-wahlqvist,2022-12-13,1200000
