id,name,season,competition,gamesPlayed,goals,minutes
249125,linus-wahlqvist,22/23,Ekstraklasa,1,0,60
249125,linus-wahlqvist,22/23,Svenska Cupen,1,0,16
249125,linus-wahlqvist,2022,Allsvenskan,26,0,2260
249125,linus-wahlqvist,21/22,Svenska Cupen,3,0,247
249125,linus-wahlqvist,2021,Allsvenskan,28,3,2482
249125,linus-wahlqvist,20/21,Svenska Cupen,4,1,360
249125,linus-wahlqvist,2020,Allsvenskan,17,1,1383
249125,linus-wahlqvist,19/20,2. Bundesliga,25,0,1941
249125,linus-wahlqvist,19/20,DFB-Pokal,1,0,90
249125,linus-wahlqvist,18/19,2. Bundesliga,29,0,2261
249125,linus-wahlqvist,18/19,DFB-Pokal,0,0,0
249125,linus-wahlqvist,2018,Allsvenskan,12,0,1060
249125,linus-wahlqvist,2018,U21 Allsvenskan Norra,0,0,0
249125,linus-wahlqvist,17/18,Svenska Cupen,3,0,270
249125,linus-wahlqvist,17/18,Kwalifikacje do Ligi Europy,4,0,378
249125,linus-wahlqvist,2017,Allsvenskan,28,2,2425
249125,linus-wahlqvist,16/17,Svenska Cupen,7,1,591
249125,linus-wahlqvist,16/17,Kwalifikacje do Ligi Mistrzów,2,0,180
249125,linus-wahlqvist,2016,Allsvenskan,28,2,2434
249125,linus-wahlqvist,2016,U21 Allsvenskan Norra,1,0,70
249125,linus-wahlqvist,15/16,Svenska Cupen,5,0,445
249125,linus-wahlqvist,2015,Allsvenskan,29,3,2603
249125,linus-wahlqvist,13/14,Svenska Cupen,5,0,393
249125,linus-wahlqvist,2014,Allsvenskan,24,0,1894
249125,linus-wahlqvist,2014,U21 Allsvenskan Norra,5,0,450
249125,linus-wahlqvist,12/13,Svenska Cupen,0,0,0
249125,linus-wahlqvist,2013,U19 Allsvenskan Norra,8,2,720
249125,linus-wahlqvist,2013,Allsvenskan,0,0,0
249125,linus-wahlqvist,2013,U21 Allsvenskan Norra,11,0,945
249125,linus-wahlqvist,2012,Allsvenskan,0,0,0
249125,linus-wahlqvist,2012,U19 Allsvenskan Norra,8,0,720
