id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
169362,luka,zahovic,22/23,Ekstraklasa,21,5,1301
169362,luka,zahovic,22/23,Fortuna Puchar Polski,2,3,184
169362,luka,zahovic,22/23,UECL Kwalifikacje,4,2,304
169362,luka,zahovic,21/22,Ekstraklasa,30,11,1696
169362,luka,zahovic,21/22,Fortuna Puchar Polski,1,0,62
169362,luka,zahovic,21/22,UECL Kwalifikacje,2,0,171
169362,luka,zahovic,20/21,Ekstraklasa,25,2,1422
169362,luka,zahovic,20/21,Fortuna Puchar Polski,2,1,82
169362,luka,zahovic,20/21,Prva Liga,1,0,75
169362,luka,zahovic,19/20,Prva Liga,28,10,2169
169362,luka,zahovic,19/20,Pokal Slovenije,1,0,18
169362,luka,zahovic,19/20,Kwalifikacje do Ligi Europy,2,0,155
169362,luka,zahovic,19/20,Kwalifikacje do Ligi Mistrzów,1,0,21
169362,luka,zahovic,18/19,Pokal Slovenije,5,0,377
169362,luka,zahovic,18/19,Prva Liga,32,18,2811
169362,luka,zahovic,18/19,Kwalifikacje do Ligi Europy,6,1,508
169362,luka,zahovic,17/18,Prva Liga,25,18,1856
169362,luka,zahovic,17/18,Kwalifikacje do Ligi Mistrzów,5,1,257
169362,luka,zahovic,16/17,Prva Liga,28,15,2047
169362,luka,zahovic,16/17,Pokal Slovenije,5,1,448
169362,luka,zahovic,16/17,Beloften Eredivisie,2,1,167
169362,luka,zahovic,16/17,Eredivisie,0,0,0
169362,luka,zahovic,15/16,Eredivisie,6,0,119
169362,luka,zahovic,15/16,Beloften nacompetitie,4,2,360
169362,luka,zahovic,15/16,Beloften Eredivisie,11,4,948
169362,luka,zahovic,15/16,KNVB Beker,2,0,20
169362,luka,zahovic,15/16,Prva Liga,3,1,175
169362,luka,zahovic,15/16,Kwalifikacje do Ligi Mistrzów,1,0,16
169362,luka,zahovic,14/15,Prva Liga,30,12,1949
169362,luka,zahovic,14/15,Pokal Slovenije,3,2,184
169362,luka,zahovic,14/15,Liga Mistrzów,5,1,188
169362,luka,zahovic,14/15,Kwalifikacje do Ligi Mistrzów,0,0,0
169362,luka,zahovic,13/14,Prva Liga,11,0,400
169362,luka,zahovic,13/14,Druga Liga,9,3,719
169362,luka,zahovic,13/14,Pokal Slovenije,2,1,180
169362,luka,zahovic,13/14,Liga Europy,1,0,7
169362,luka,zahovic,12/13,Prva Liga,1,0,13
169362,luka,zahovic,12/13,Viareggio,3,2,195
169362,luka,zahovic,12/13,Pokal Slovenije,0,0,0
