id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
570466,mateusz,legowski,22/23,Ekstraklasa,14,1,874
570466,mateusz,legowski,22/23,Fortuna Puchar Polski,0,0,0
570466,mateusz,legowski,22/23,UECL Kwalifikacje,1,0,5
570466,mateusz,legowski,21/22,Ekstraklasa,19,1,674
570466,mateusz,legowski,21/22,Liga Młodzieżowa UEFA,2,0,180
570466,mateusz,legowski,21/22,3 Liga - Grupa II,6,0,495
570466,mateusz,legowski,21/22,Fortuna Puchar Polski,0,0,0
570466,mateusz,legowski,20/21,CLJ,5,3,420
570466,mateusz,legowski,20/21,3 Liga - Grupa II,17,0,1495
570466,mateusz,legowski,20/21,Fortuna Puchar Polski,0,0,0
570466,mateusz,legowski,18/19,3 Liga - Grupa II,1,0,28
570466,mateusz,legowski,18/19,CLJ,16,1,1194
