id,name,season,competition,gamesPlayed,goals
235862,pawel-stolarski,2022,Ekstraklasa,8,0
235862,pawel-stolarski,2022,Fortuna Puchar Polski,2,0
235862,pawel-stolarski,2022,3 Liga - Grupa II,2,0
235862,pawel-stolarski,2022,UECL Kwalifikacje,1,0
235862,pawel-stolarski,2021,Ekstraklasa,17,0
235862,pawel-stolarski,2021,3 Liga - Grupa II,2,0
235862,pawel-stolarski,2021,UECL Kwalifikacje,-,0
235862,pawel-stolarski,2021,Fortuna Puchar Polski,-,0
235862,pawel-stolarski,2020,Ekstraklasa,9,0
235862,pawel-stolarski,2020,3 Liga - Grupa I,2,0
235862,pawel-stolarski,2020,Fortuna Puchar Polski,1,0
235862,pawel-stolarski,2020,Superpuchar,1,0
235862,pawel-stolarski,2020,3 Liga - Grupa II,1,0
235862,pawel-stolarski,2020,Kwalifikacje do Ligi Mistrzów,-,0
235862,pawel-stolarski,2019,Ekstraklasa,13,0
235862,pawel-stolarski,2019,Kwalifikacje do Ligi Europy,4,1
235862,pawel-stolarski,2019,Fortuna Puchar Polski,3,0
235862,pawel-stolarski,2018,Ekstraklasa,18,1
235862,pawel-stolarski,2018,Fortuna Puchar Polski,4,0
235862,pawel-stolarski,2017,Ekstraklasa,25,0
235862,pawel-stolarski,2017,Fortuna Puchar Polski,1,0
235862,pawel-stolarski,2016,Ekstraklasa,24,0
235862,pawel-stolarski,2016,Fortuna Puchar Polski,2,0
235862,pawel-stolarski,2015,Ekstraklasa,21,1
235862,pawel-stolarski,2015,Fortuna Puchar Polski,1,0
235862,pawel-stolarski,2014,Fortuna 1 Liga,8,0
235862,pawel-stolarski,2013,Ekstraklasa,14,0
235862,pawel-stolarski,2013,Fortuna Puchar Polski,3,0
235862,pawel-stolarski,2012,Ekstraklasa,5,0
235862,pawel-stolarski,2012,Fortuna Puchar Polski,2,0
