id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
300532,pontus,almqvist,22/23,2023-06-30,Pogon Szczecin,Rostov,2200000,End of loan
300532,pontus,almqvist,22/23,2022-07-05,Rostov,Pogon Szczecin,3000000,loan transfer
300532,pontus,almqvist,21/22,2022-06-30,FC Utrecht,Rostov,3000000,End of loan
300532,pontus,almqvist,21/22,2022-03-17,Rostov,FC Utrecht,3000000,loan transfer
300532,pontus,almqvist,20/21,2020-10-15,Norrköping,Rostov,250000,3750000
300532,pontus,almqvist,19/20,2019-11-30,Sylvia,Norrköping,100000,End of loan
300532,pontus,almqvist,18/19,2019-03-26,Norrköping,Sylvia,10000,loan transfer
300532,pontus,almqvist,18/19,2018-11-30,Norrby,Norrköping,50000,End of loan
300532,pontus,almqvist,18/19,2018-07-19,Norrköping,Norrby,50000,loan transfer
300532,pontus,almqvist,18/19,2018-07-16,Varbergs BoIS,Norrköping,50000,End of loan
300532,pontus,almqvist,17/18,2018-03-23,Norrköping,Varbergs BoIS,50000,loan transfer
300532,pontus,almqvist,16/17,2016-10-01,Nike Academy,Norrköping,0,free transfer
300532,pontus,almqvist,16/17,2016-07-01,Norrköping U17,Nike Academy,0,free transfer
300532,pontus,almqvist,15/16,2016-01-01,Nyköp. BIS U19,Norrköping U17,0,free transfer
