id,name,season,competition,gamesPlayed,goals
191895,rafal-kurzawa,2022,Ekstraklasa,9,0
191895,rafal-kurzawa,2022,Fortuna Puchar Polski,2,0
191895,rafal-kurzawa,2022,3 Liga - Grupa II,2,0
191895,rafal-kurzawa,2021,Ekstraklasa,22,1
191895,rafal-kurzawa,2021,UECL Kwalifikacje,2,0
191895,rafal-kurzawa,2021,Fortuna Puchar Polski,1,0
191895,rafal-kurzawa,2020,Ekstraklasa,10,2
191895,rafal-kurzawa,2019,Superligaen,6,0
191895,rafal-kurzawa,2019,Superligaen Relegation round,6,2
191895,rafal-kurzawa,2019,DBU Pokalen,1,0
191895,rafal-kurzawa,2018,Ligue 1,11,1
191895,rafal-kurzawa,2018,Superligaen Championship round,5,0
191895,rafal-kurzawa,2018,Reserveligaen Spring,3,1
191895,rafal-kurzawa,2018,Superligaen,2,1
191895,rafal-kurzawa,2018,DBU Pokalen,2,0
191895,rafal-kurzawa,2018,Coupe de la Ligue,2,0
191895,rafal-kurzawa,2018,Coupe de France,1,0
191895,rafal-kurzawa,2017,Ekstraklasa,36,2
191895,rafal-kurzawa,2017,Fortuna Puchar Polski,5,2
191895,rafal-kurzawa,2016,Fortuna 1 Liga,33,4
191895,rafal-kurzawa,2016,Fortuna Puchar Polski,2,1
191895,rafal-kurzawa,2015,Ekstraklasa,23,1
191895,rafal-kurzawa,2015,Fortuna Puchar Polski,1,0
191895,rafal-kurzawa,2014,Ekstraklasa,12,0
191895,rafal-kurzawa,2014,Fortuna Puchar Polski,1,0
191895,rafal-kurzawa,2013,Fortuna 1 Liga,17,1
191895,rafal-kurzawa,2013,Ekstraklasa,5,0
191895,rafal-kurzawa,2013,Fortuna Puchar Polski,1,1
191895,rafal-kurzawa,2012,2 Liga - Grupa zachodnia,32,3
