id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
510372,berto,cayarga,22/23,Ekstraklasa,4,0,294
510372,berto,cayarga,21/22,LaLiga SmartBank,36,3,1696
510372,berto,cayarga,21/22,Puchar Króla,2,1,84
510372,berto,cayarga,20/21,LaLiga SmartBank,37,2,1465
510372,berto,cayarga,20/21,Puchar Króla,1,0,68
510372,berto,cayarga,19/20,Ascenso LaLiga2,1,0,60
510372,berto,cayarga,19/20,2ª B - Grupo IV,6,1,468
510372,berto,cayarga,19/20,Puchar Króla,1,0,57
510372,berto,cayarga,19/20,LaLiga SmartBank,7,0,249
510372,berto,cayarga,18/19,Ascenso a 2ª,4,0,229
510372,berto,cayarga,18/19,2ª B - Grupo II,35,4,2252
510372,berto,cayarga,18/19,Puchar Króla,4,0,209
510372,berto,cayarga,17/18,Ascenso a 2ª,4,2,232
510372,berto,cayarga,17/18,2ª B - Grupo II,35,7,2530
