id,name,season,competition,gamesPlayed,goals
196387,damian-jakubik,2022,Ekstraklasa,5,0
196387,damian-jakubik,2022,Fortuna Puchar Polski,2,0
196387,damian-jakubik,2021,Ekstraklasa,24,0
196387,damian-jakubik,2021,Fortuna Puchar Polski,-,0
196387,damian-jakubik,2020,Fortuna 1 Liga,27,2
196387,damian-jakubik,2020,Fortuna Puchar Polski,3,1
196387,damian-jakubik,2019,Fortuna 1 Liga,32,0
196387,damian-jakubik,2019,Baraze o udzial w Ekstraklasie,2,0
196387,damian-jakubik,2019,Fortuna Puchar Polski,1,0
196387,damian-jakubik,2018,eWinner 2 liga,28,1
196387,damian-jakubik,2018,Fortuna Puchar Polski,1,0
196387,damian-jakubik,2017,eWinner 2 liga,28,1
196387,damian-jakubik,2017,Fortuna Puchar Polski,2,0
196387,damian-jakubik,2016,Fortuna 1 Liga,16,0
196387,damian-jakubik,2016,Fortuna Puchar Polski,1,0
196387,damian-jakubik,2015,Fortuna 1 Liga,16,1
196387,damian-jakubik,2015,Ekstraklasa,7,0
196387,damian-jakubik,2015,Fortuna Puchar Polski,2,0
196387,damian-jakubik,2014,Fortuna 1 Liga,26,0
196387,damian-jakubik,2014,Fortuna Puchar Polski,1,0
196387,damian-jakubik,2013,Fortuna 1 Liga,28,0
196387,damian-jakubik,2013,Fortuna Puchar Polski,1,0
196387,damian-jakubik,2012,Fortuna 1 Liga,26,1
196387,damian-jakubik,2012,Fortuna Puchar Polski,1,0
196387,damian-jakubik,2011,Fortuna 1 Liga,11,0
196387,damian-jakubik,2011,Fortuna Puchar Polski,1,0
