id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
168427,dawid,abramowicz,22/23,Ekstraklasa,19,2,1696
168427,dawid,abramowicz,22/23,Fortuna Puchar Polski,2,0,210
168427,dawid,abramowicz,21/22,Ekstraklasa,34,4,3039
168427,dawid,abramowicz,20/21,1 Liga,17,1,1529
168427,dawid,abramowicz,20/21,Fortuna Puchar Polski,1,0,120
168427,dawid,abramowicz,20/21,Ekstraklasa,12,0,739
168427,dawid,abramowicz,19/20,Baraze o udzial w Ekstraklasie,2,0,180
168427,dawid,abramowicz,19/20,1 Liga,33,3,2814
168427,dawid,abramowicz,19/20,Fortuna Puchar Polski,1,0,90
168427,dawid,abramowicz,18/19,Fortuna 1 Liga,28,2,2448
168427,dawid,abramowicz,18/19,Fortuna Puchar Polski,1,0,90
168427,dawid,abramowicz,17/18,Nice 1 Liga,31,3,2732
168427,dawid,abramowicz,17/18,Fortuna Puchar Polski,3,0,235
168427,dawid,abramowicz,16/17,Nice 1 Liga,31,3,2716
168427,dawid,abramowicz,16/17,Fortuna Puchar Polski,1,0,90
168427,dawid,abramowicz,15/16,eWinner 2 liga,23,1,2037
168427,dawid,abramowicz,15/16,Ekstraklasa,0,0,0
168427,dawid,abramowicz,15/16,Fortuna Puchar Polski,1,0,90
168427,dawid,abramowicz,13/14,1 Liga,2,0,83
168427,dawid,abramowicz,12/13,2 Liga - Grupa zachodnia,14,1,994
168427,dawid,abramowicz,12/13,1 Liga,2,0,180
168427,dawid,abramowicz,12/13,Fortuna Puchar Polski,3,0,136
168427,dawid,abramowicz,11/12,1 Liga,12,0,1000
168427,dawid,abramowicz,10/11,Fortuna Puchar Polski,1,0,90
