id,name,season,competition,gamesPlayed,goals,minutes
198007,francisco-ramos,22/23,Ekstraklasa,3,0,270
198007,francisco-ramos,22/23,Liga Sabseg,7,0,559
198007,francisco-ramos,22/23,Allianz Cup,3,0,260
198007,francisco-ramos,22/23,Taça de Portugal,2,0,108
198007,francisco-ramos,21/22,Liga Sabseg,32,2,2355
198007,francisco-ramos,21/22,Taça de Portugal,1,0,97
198007,francisco-ramos,21/22,Allianz Cup,1,0,21
198007,francisco-ramos,20/21,Liga NOS,16,1,1037
198007,francisco-ramos,20/21,Taça de Portugal,2,0,176
198007,francisco-ramos,19/20,Liga NOS,29,0,2235
198007,francisco-ramos,19/20,Allianz Cup,1,0,90
198007,francisco-ramos,19/20,Taça de Portugal,3,0,270
198007,francisco-ramos,18/19,Liga NOS,12,0,937
198007,francisco-ramos,18/19,Taça de Portugal,1,0,34
198007,francisco-ramos,17/18,Liga NOS,13,0,633
198007,francisco-ramos,17/18,Taça de Portugal,2,0,174
198007,francisco-ramos,17/18,Liga Europy,5,0,363
198007,francisco-ramos,17/18,Taça CTT,2,0,149
198007,francisco-ramos,16/17,Ledman LigaPro,25,1,2181
198007,francisco-ramos,15/16,Ledman LigaPro,38,2,3333
198007,francisco-ramos,15/16,Liga NOS,3,0,12
198007,francisco-ramos,15/16,Liga Europy,0,0,0
198007,francisco-ramos,15/16,Allianz Cup,1,0,23
198007,francisco-ramos,14/15,Liga Sabseg,38,4,2988
198007,francisco-ramos,13/14,Liga Młodzieżowa UEFA,6,0,518
