season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,Radomiak,Farense,350000,free transfer
21/22,2021-07-07,B SAD,Radomiak,800000,free transfer
18/19,2018-07-01,Belenenses,B SAD,1250000,0
15/16,2015-08-19,Braga B,Belenenses,400000,free transfer
12/13,2012-07-01,Atlético CP,Braga B,550000,0
11/12,2011-07-01,AD Lousada,Atlético CP,0,free transfer
10/11,2010-07-01,Barreirense,AD Lousada,0,free transfer
09/10,2009-07-01,Barreirense U19,Barreirense,0,0
08/09,2008-07-01,FC Barreir. U17,Barreirense U19,0,0
06/07,2006-07-01,Barreir. S15,FC Barreir. U17,0,0
04/05,2004-07-01,Barreir. F,Barreir. S15,0,0
