id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
225431,lisandro,semedo,22/23,Ekstraklasa,19,1,964
225431,lisandro,semedo,22/23,Fortuna Puchar Polski,3,0,113
225431,lisandro,semedo,21/22,Eredivisie,9,0,468
225431,lisandro,semedo,21/22,KNVB beker,1,0,19
225431,lisandro,semedo,20/21,Eredivisie,34,9,2297
225431,lisandro,semedo,20/21,KNVB beker,2,0,68
225431,lisandro,semedo,19/20,SL1 Play-off,5,0,327
225431,lisandro,semedo,19/20,Super League 1,23,7,1991
225431,lisandro,semedo,19/20,Kypello Elladas,2,0,180
225431,lisandro,semedo,18/19,Eredivisie,28,3,1788
225431,lisandro,semedo,18/19,KNVB beker,4,1,263
225431,lisandro,semedo,17/18,Jupiler League,37,15,3272
225431,lisandro,semedo,17/18,KNVB beker,3,0,180
225431,lisandro,semedo,16/17,Protathlima Cyta,15,1,1041
225431,lisandro,semedo,15/16,U21 PL,8,1,357
225431,lisandro,semedo,14/15,Liga Młodzieżowa UEFA,6,0,401
