id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
518723,luizao,-,22/23,Ekstraklasa,6,0,318
518723,luizao,-,22/23,Fortuna Puchar Polski,2,0,113
518723,luizao,-,21/22,Ekstraklasa,9,0,555
518723,luizao,-,2022,Campeonato Baiano,1,0,90
518723,luizao,-,21/22,Premier Liha,2,0,35
518723,luizao,-,21/22,UECL Kwalifikacje,1,0,15
518723,luizao,-,2021,Série A,6,0,99
518723,luizao,-,20/21,Premier Liha,10,0,426
518723,luizao,-,19/20,Puchar Ukrainy,3,0,224
518723,luizao,-,19/20,Premier Liga - Abstiegsrunde,3,0,132
518723,luizao,-,19/20,Premier Liha,17,1,1317
518723,luizao,-,18/19,Ledman LigaPro,29,1,2341
518723,luizao,-,17/18,Ledman LigaPro,35,2,2788
518723,luizao,-,17/18,Taça de Portugal,1,0,38
