id,name,season,competition,gamesPlayed,goals
236235,mateusz-cichocki,2022,Ekstraklasa,14,0
236235,mateusz-cichocki,2022,Fortuna Puchar Polski,3,0
236235,mateusz-cichocki,2021,Ekstraklasa,33,0
236235,mateusz-cichocki,2021,Fortuna Puchar Polski,1,0
236235,mateusz-cichocki,2020,Fortuna 1 Liga,32,0
236235,mateusz-cichocki,2020,Fortuna Puchar Polski,3,0
236235,mateusz-cichocki,2019,Fortuna 1 Liga,31,2
236235,mateusz-cichocki,2019,Baraze o udzial w Ekstraklasie,2,0
236235,mateusz-cichocki,2019,Fortuna Puchar Polski,-,0
236235,mateusz-cichocki,2018,Ekstraklasa,22,0
236235,mateusz-cichocki,2018,Fortuna Puchar Polski,-,0
236235,mateusz-cichocki,2017,Fortuna 1 Liga,32,1
236235,mateusz-cichocki,2017,Fortuna Puchar Polski,2,0
236235,mateusz-cichocki,2016,Ekstraklasa,7,0
236235,mateusz-cichocki,2016,Fortuna Puchar Polski,2,0
236235,mateusz-cichocki,2015,Ekstraklasa,20,0
236235,mateusz-cichocki,2015,Fortuna Puchar Polski,2,0
236235,mateusz-cichocki,2014,Fortuna 1 Liga,31,0
236235,mateusz-cichocki,2014,Fortuna Puchar Polski,1,0
236235,mateusz-cichocki,2013,Fortuna 1 Liga,13,0
236235,mateusz-cichocki,2013,Fortuna Puchar Polski,5,0
236235,mateusz-cichocki,2013,Ekstraklasa,4,0
236235,mateusz-cichocki,2013,Liga Europy,-,0
236235,mateusz-cichocki,2013,Kwalifikacje do Ligi Mistrzów,-,0
236235,mateusz-cichocki,2012,Fortuna 1 Liga,14,0
236235,mateusz-cichocki,2012,Fortuna Puchar Polski,1,0
