id,name,season,competition,gamesPlayed,goals
136744,mike-cestor,2022,SuperLiga,16,0
136744,mike-cestor,2022,Ekstraklasa,2,0
136744,mike-cestor,2022,Cupa României,1,0
136744,mike-cestor,2021,SuperLiga,12,0
136744,mike-cestor,2021,Kwalifikacje do Ligi Mistrzów,5,1
136744,mike-cestor,2021,Liga Konferencji,3,0
136744,mike-cestor,2021,Kwalifikacje do Ligi Europy,1,0
136744,mike-cestor,2021,Cupa României,1,0
136744,mike-cestor,2021,Supercupa României,-,0
136744,mike-cestor,2020,SuperLiga,6,0
136744,mike-cestor,2020,Kwalifikacje do Ligi Mistrzów,1,1
136744,mike-cestor,2020,Liga Europy,-,0
136744,mike-cestor,2020,Kwalifikacje do Ligi Europy,-,0
136744,mike-cestor,2019,SuperLiga,9,1
136744,mike-cestor,2019,Liga Europy,4,0
136744,mike-cestor,2019,Liga 1 - Championship group,2,0
136744,mike-cestor,2019,Kwalifikacje do Ligi Mistrzów,1,0
136744,mike-cestor,2019,Cupa României,1,0
136744,mike-cestor,2018,SuperLiga,20,0
136744,mike-cestor,2018,Liga 1 - Championship group,8,1
136744,mike-cestor,2018,Cupa României,6,0
136744,mike-cestor,2017,National 2 - Grp. B,28,6
136744,mike-cestor,2017,Coupe de France,2,0
136744,mike-cestor,2016,Championnat National,26,1
136744,mike-cestor,2016,Coupe de France,2,1
