id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
249983,roberto,alves,22/23,Ekstraklasa,20,3,1669
249983,roberto,alves,22/23,Fortuna Puchar Polski,1,0,45
249983,roberto,alves,21/22,Challenge League,33,12,2849
249983,roberto,alves,21/22,Swiss Cup,2,0,166
249983,roberto,alves,20/21,Swiss Cup,3,1,213
249983,roberto,alves,20/21,Challenge League,27,5,2118
249983,roberto,alves,19/20,Schweizer Cup,2,0,143
249983,roberto,alves,19/20,Challenge League,15,1,1082
249983,roberto,alves,19/20,Challenge League,9,1,363
249983,roberto,alves,19/20,Schweizer Cup,0,0,0
249983,roberto,alves,18/19,Challenge League,33,6,2033
249983,roberto,alves,18/19,Schweizer Cup,2,0,134
249983,roberto,alves,18/19,1. Liga gr. 3,2,1,150
249983,roberto,alves,17/18,Challenge League,16,2,896
249983,roberto,alves,17/18,2. Liga Grp. 6,1,1,90
249983,roberto,alves,17/18,1. Liga gr. 2,9,6,810
249983,roberto,alves,16/17,1. Liga gr. 3,18,6,1331
249983,roberto,alves,15/16,1. Liga Playoff,2,0,180
249983,roberto,alves,15/16,1. Liga gr. 3,20,10,1532
249983,roberto,alves,15/16,Super League,0,0,0
249983,roberto,alves,14/15,Swiss U18 Elite League,8,5,673
249983,roberto,alves,14/15,Swiss U18 Elite Finals,1,0,90
249983,roberto,alves,14/15,1. Liga gr. 3,13,5,833
249983,roberto,alves,14/15,Schweizer U18-Cup,2,1,180
249983,roberto,alves,13/14,Schweizer U18-Cup,3,0,167
249983,roberto,alves,13/14,Swiss U18 Elite League,19,2,1431
249983,roberto,alves,13/14,Swiss U17 Elite League,1,3,90
