id,name,season,competition,gamesPlayed,goals
255401,fabian-piasecki,2022,Ekstraklasa,17,5
255401,fabian-piasecki,2022,UECL Kwalifikacje,2,0
255401,fabian-piasecki,2022,Fortuna Puchar Polski,2,0
255401,fabian-piasecki,2021,Ekstraklasa,32,7
255401,fabian-piasecki,2021,UECL Kwalifikacje,6,2
255401,fabian-piasecki,2020,Ekstraklasa,26,4
255401,fabian-piasecki,2020,Fortuna Puchar Polski,1,0
255401,fabian-piasecki,2020,eWinner 2 liga,1,1
255401,fabian-piasecki,2019,Fortuna 1 Liga,32,17
255401,fabian-piasecki,2019,Fortuna Puchar Polski,-,0
255401,fabian-piasecki,2018,Ekstraklasa,28,1
255401,fabian-piasecki,2018,Fortuna Puchar Polski,3,0
255401,fabian-piasecki,2018,3 Liga - Grupa III,1,2
255401,fabian-piasecki,2017,Fortuna 1 Liga,23,9
255401,fabian-piasecki,2017,3 Liga - Grupa III,4,0
255401,fabian-piasecki,2017,Fortuna Puchar Polski,1,0
255401,fabian-piasecki,2016,eWinner 2 liga,28,13
255401,fabian-piasecki,2015,Ekstraklasa,2,0
255401,fabian-piasecki,2015,Fortuna Puchar Polski,1,0
255401,fabian-piasecki,2014,Ekstraklasa,3,0
255401,fabian-piasecki,2013,2 Liga - Grupa zachodnia,9,0
255401,fabian-piasecki,2012,16,11.09.2012,W
255401,fabian-piasecki,2012,16,13.09.2012,W
255401,fabian-piasecki,2012,1,02.10.2012,D
255401,fabian-piasecki,2012,18,04.10.2012,D
255401,fabian-piasecki,2012,10,26.03.2013,W
255401,fabian-piasecki,2012,19,16.04.2013,D
255401,fabian-piasecki,2012,20,18.04.2013,W
255401,fabian-piasecki,2012,25,08.05.2013,D
