id,name,season,competition,gamesPlayed,goals,minutes
343158,fran-tudor,22/23,Ekstraklasa,17,1,1276
343158,fran-tudor,22/23,Fortuna Puchar Polski,1,0,90
343158,fran-tudor,22/23,UECL Kwalifikacje,6,2,516
343158,fran-tudor,22/23,Superpuchar,1,0,90
343158,fran-tudor,21/22,Ekstraklasa,31,2,2724
343158,fran-tudor,21/22,Fortuna Puchar Polski,6,0,473
343158,fran-tudor,21/22,UECL Kwalifikacje,6,0,600
343158,fran-tudor,21/22,Superpuchar,1,1,65
343158,fran-tudor,20/21,Ekstraklasa,29,1,2357
343158,fran-tudor,20/21,Fortuna Puchar Polski,5,0,445
343158,fran-tudor,19/20,Ekstraklasa,16,1,1246
343158,fran-tudor,18/19,SuperSport HNL,24,1,1508
343158,fran-tudor,18/19,Hrvatski nogometni kup,2,0,135
343158,fran-tudor,18/19,Kwalifikacje do Ligi Europy,1,0,45
343158,fran-tudor,17/18,Hrvatski nogometni kup,3,0,230
343158,fran-tudor,17/18,SuperSport HNL,20,2,1485
343158,fran-tudor,17/18,Kwalifikacje do Ligi Europy,4,0,266
343158,fran-tudor,16/17,1.HNL,27,3,1884
343158,fran-tudor,16/17,Hrvatski nogometni kup,3,2,141
343158,fran-tudor,16/17,Kwalifikacje do Ligi Europy,4,1,222
343158,fran-tudor,15/16,SuperSport HNL,31,7,2640
343158,fran-tudor,15/16,Hrvatski nogometni kup,5,0,363
343158,fran-tudor,15/16,Kwalifikacje do Ligi Europy,7,0,613
343158,fran-tudor,14/15,SuperSport HNL,7,2,434
343158,fran-tudor,14/15,Hrvatski nogometni kup,1,0,35
343158,fran-tudor,14/15,Super League K20,12,2,1045
