id,name,dates,marketValue
448058,giannis-papanikolaou,2016-09-30,50000
448058,giannis-papanikolaou,2016-12-20,50000
448058,giannis-papanikolaou,2017-05-10,50000
448058,giannis-papanikolaou,2017-12-17,75000
448058,giannis-papanikolaou,2018-05-21,150000
448058,giannis-papanikolaou,2019-06-10,350000
448058,giannis-papanikolaou,2019-12-17,400000
448058,giannis-papanikolaou,2020-04-07,350000
448058,giannis-papanikolaou,2020-08-03,350000
448058,giannis-papanikolaou,2021-01-18,350000
448058,giannis-papanikolaou,2021-05-20,350000
448058,giannis-papanikolaou,2021-10-14,550000
448058,giannis-papanikolaou,2021-12-30,550000
448058,giannis-papanikolaou,2022-04-06,700000
448058,giannis-papanikolaou,2022-06-13,1200000
448058,giannis-papanikolaou,2022-09-28,1500000
448058,giannis-papanikolaou,2022-11-15,1800000
