id,name,season,competition,gamesPlayed,goals,minutes
258007,gustav-berggren,22/23,Ekstraklasa,13,0,418
258007,gustav-berggren,22/23,Fortuna Puchar Polski,1,0,90
258007,gustav-berggren,22/23,UECL Kwalifikacje,1,0,9
258007,gustav-berggren,2022,Allsvenskan,14,2,1180
258007,gustav-berggren,21/22,Svenska Cupen,3,4,270
258007,gustav-berggren,21/22,UECL Kwalifikacje,2,0,170
258007,gustav-berggren,2021,Allsvenskan,27,1,2376
258007,gustav-berggren,20/21,Svenska Cupen,6,0,543
258007,gustav-berggren,2020,Allsvenskan,28,3,2079
258007,gustav-berggren,19/20,Svenska Cupen,3,0,270
258007,gustav-berggren,19/20,Kwalifikacje do Ligi Europy,2,0,95
258007,gustav-berggren,2019,Allsvenskan,25,2,1611
258007,gustav-berggren,18/19,Kwalifikacje do Ligi Europy,4,0,277
258007,gustav-berggren,2018,Allsvenskan,17,0,845
258007,gustav-berggren,2018,U21 Allsvenskan Södra,3,0,236
258007,gustav-berggren,17/18,Svenska Cupen,2,0,102
258007,gustav-berggren,2017,Superettan,15,0,1312
258007,gustav-berggren,2017,Allsvenskan,7,0,199
258007,gustav-berggren,2017,U21 Allsvenskan Södra,7,2,630
258007,gustav-berggren,16/17,Svenska Cupen,4,0,107
258007,gustav-berggren,16/17,Kwalifikacje do Ligi Europy,0,0,0
258007,gustav-berggren,2016,Allsvenskan,8,0,204
258007,gustav-berggren,2016,U21 Allsvenskan Södra,9,0,810
258007,gustav-berggren,2016,U19 Allsvenskan Södra,1,0,90
258007,gustav-berggren,15/16,Svenska Cupen,1,0,90
258007,gustav-berggren,2015,Allsvenskan,0,0,0
258007,gustav-berggren,2015,U19 Allsvenskan Slutspelet,1,0,90
258007,gustav-berggren,2015,U19 Allsvenskan Södra,19,1,1710
258007,gustav-berggren,2015,U21 Allsvenskan Södra,13,1,1170
258007,gustav-berggren,13/14,Svenska Cupen,2,0,7
258007,gustav-berggren,2014,U21 Allsvenskan Slutspelet,4,1,360
258007,gustav-berggren,2014,U19 Allsvenskan Slutspelet,2,0,180
258007,gustav-berggren,2014,U19 Allsvenskan Södra,21,2,1885
258007,gustav-berggren,2014,U21 Allsvenskan Södra,0,0,0
258007,gustav-berggren,2013,U19 Allsvenskan Södra,15,0,1350
