id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
239215,marcin,cebula,22/23,Ekstraklasa,1,0,14
239215,marcin,cebula,21/22,Fortuna Puchar Polski,1,0,0
239215,marcin,cebula,21/22,Ekstraklasa,12,3,373
239215,marcin,cebula,21/22,UECL Kwalifikacje,6,0,511
239215,marcin,cebula,21/22,Superpuchar,1,0,77
239215,marcin,cebula,20/21,Ekstraklasa,24,6,1494
239215,marcin,cebula,20/21,Fortuna Puchar Polski,4,0,248
239215,marcin,cebula,19/20,Ekstraklasa,26,2,1831
239215,marcin,cebula,18/19,Ekstraklasa,21,3,1159
239215,marcin,cebula,18/19,Fortuna Puchar Polski,1,0,29
239215,marcin,cebula,17/18,Ekstraklasa,27,2,1583
239215,marcin,cebula,17/18,Fortuna Puchar Polski,4,0,208
239215,marcin,cebula,16/17,Ekstraklasa,23,0,928
239215,marcin,cebula,16/17,Fortuna Puchar Polski,1,0,90
239215,marcin,cebula,15/16,Ekstraklasa,26,0,1298
239215,marcin,cebula,14/15,Ekstraklasa,13,0,321
239215,marcin,cebula,13/14,Ekstraklasa,6,0,286
239215,marcin,cebula,12/13,Ekstraklasa,2,0,46
