id,name,season,competition,gamesPlayed,goals
252608,patryk-kun,2022,Ekstraklasa,17,2
252608,patryk-kun,2022,UECL Kwalifikacje,6,0
252608,patryk-kun,2022,Fortuna Puchar Polski,2,0
252608,patryk-kun,2022,Superpuchar,1,0
252608,patryk-kun,2021,Ekstraklasa,30,1
252608,patryk-kun,2021,UECL Kwalifikacje,6,0
252608,patryk-kun,2021,Fortuna Puchar Polski,5,0
252608,patryk-kun,2021,Superpuchar,1,0
252608,patryk-kun,2020,Ekstraklasa,29,1
252608,patryk-kun,2020,Fortuna Puchar Polski,6,0
252608,patryk-kun,2019,Ekstraklasa,21,0
252608,patryk-kun,2018,Fortuna 1 Liga,30,1
252608,patryk-kun,2018,Fortuna Puchar Polski,4,0
252608,patryk-kun,2017,Ekstraklasa,28,2
252608,patryk-kun,2017,Kwalifikacje do Ligi Europy,2,0
252608,patryk-kun,2017,Fortuna Puchar Polski,2,0
252608,patryk-kun,2017,Superpuchar,1,0
252608,patryk-kun,2016,Fortuna 1 Liga,33,6
252608,patryk-kun,2016,Fortuna Puchar Polski,2,0
252608,patryk-kun,2015,Fortuna 1 Liga,31,4
252608,patryk-kun,2015,Fortuna Puchar Polski,2,0
252608,patryk-kun,2014,eWinner 2 liga,14,2
252608,patryk-kun,2013,Fortuna 1 Liga,13,0
252608,patryk-kun,2013,Fortuna Puchar Polski,1,0
252608,patryk-kun,2012,Fortuna 1 Liga,1,0
