id,firstName,lastName,dates,marketValue
318257,stratos,svarnas,2014-12-20,50000
318257,stratos,svarnas,2015-06-06,50000
318257,stratos,svarnas,2015-09-26,100000
318257,stratos,svarnas,2016-06-20,100000
318257,stratos,svarnas,2016-12-20,150000
318257,stratos,svarnas,2017-05-10,150000
318257,stratos,svarnas,2017-12-17,250000
318257,stratos,svarnas,2018-05-21,400000
318257,stratos,svarnas,2018-12-06,400000
318257,stratos,svarnas,2019-05-20,500000
318257,stratos,svarnas,2019-12-17,500000
318257,stratos,svarnas,2020-04-07,400000
318257,stratos,svarnas,2020-08-03,700000
318257,stratos,svarnas,2020-10-11,1200000
318257,stratos,svarnas,2021-02-11,1000000
318257,stratos,svarnas,2021-05-29,1500000
318257,stratos,svarnas,2021-10-31,1200000
318257,stratos,svarnas,2022-06-08,1200000
318257,stratos,svarnas,2022-09-28,1400000
318257,stratos,svarnas,2022-11-15,2000000
