id,name,season,competition,gamesPlayed,goals,minutes
407094,szymon-czyz,22/23,Ekstraklasa,6,0,414
407094,szymon-czyz,22/23,UECL Kwalifikacje,6,0,93
407094,szymon-czyz,22/23,Superpuchar,1,0,2
407094,szymon-czyz,21/22,Ekstraklasa,8,0,154
407094,szymon-czyz,21/22,Fortuna Puchar Polski,1,0,90
407094,szymon-czyz,21/22,Ekstraklasa,15,0,1006
407094,szymon-czyz,21/22,Fortuna Puchar Polski,1,0,68
407094,szymon-czyz,20/21,Primavera 1,20,1,1578
407094,szymon-czyz,20/21,Coppa Primavera,5,1,478
407094,szymon-czyz,20/21,Puchar Włoch,0,0,0
407094,szymon-czyz,20/21,Serie A,0,0,0
407094,szymon-czyz,20/21,Liga Mistrzów,1,0,22
407094,szymon-czyz,19/20,Primavera 1,18,0,816
407094,szymon-czyz,19/20,Coppa Primavera,1,0,62
407094,szymon-czyz,18/19,Play-off/out U19,3,1,270
407094,szymon-czyz,18/19,Primavera 2 - B,20,5,1682
407094,szymon-czyz,18/19,Coppa Primavera,1,0,90
407094,szymon-czyz,17/18,CLJ - Grupa Zachodnia,9,2,532
