id,name,season,competition,gamesPlayed,goals
429070,vladan-kovacevic,2022,Ekstraklasa,16,0
429070,vladan-kovacevic,2022,UECL Kwalifikacje,3,0
429070,vladan-kovacevic,2022,Superpuchar,1,0
429070,vladan-kovacevic,2022,Fortuna Puchar Polski,-,0
429070,vladan-kovacevic,2021,Ekstraklasa,27,0
429070,vladan-kovacevic,2021,UECL Kwalifikacje,6,0
429070,vladan-kovacevic,2021,Superpuchar,1,0
429070,vladan-kovacevic,2021,Fortuna Puchar Polski,-,0
429070,vladan-kovacevic,2020,Premijer Liga,29,0
429070,vladan-kovacevic,2020,Kup BIH,4,0
429070,vladan-kovacevic,2020,Kwalifikacje do Ligi Europy,2,0
429070,vladan-kovacevic,2020,Kwalifikacje do Ligi Mistrzów,2,0
429070,vladan-kovacevic,2019,Premijer Liga,20,0
429070,vladan-kovacevic,2019,Kwalifikacje do Ligi Europy,2,0
429070,vladan-kovacevic,2019,Kwalifikacje do Ligi Mistrzów,2,0
429070,vladan-kovacevic,2019,Kup BIH,1,0
429070,vladan-kovacevic,2018,Premijer Liga,30,0
429070,vladan-kovacevic,2018,Kup BIH,6,0
429070,vladan-kovacevic,2018,Kwalifikacje do Ligi Europy,-,0
429070,vladan-kovacevic,2017,Prva Liga RS,9,0
429070,vladan-kovacevic,2016,Premijer Liga BiH U19,29,0
429070,vladan-kovacevic,2016,Premijer Liga,-,0
