id,name,season,competition,gamesPlayed,goals,minutes
699400,xavier-dziekonski,22/23,3 Liga - Grupa III,9,0,5
699400,xavier-dziekonski,22/23,UECL Kwalifikacje,0,0,0
699400,xavier-dziekonski,22/23,Ekstraklasa,0,0,0
699400,xavier-dziekonski,21/22,3 Liga - Grupa I,6,0,0
699400,xavier-dziekonski,21/22,Ekstraklasa,10,0,2
699400,xavier-dziekonski,21/22,Fortuna Puchar Polski,1,0,0
699400,xavier-dziekonski,20/21,Ekstraklasa,16,0,3
699400,xavier-dziekonski,20/21,CLJ,4,0,1
699400,xavier-dziekonski,20/21,3 Liga - Grupa I,4,0,1
699400,xavier-dziekonski,20/21,Fortuna Puchar Polski,1,0,0
699400,xavier-dziekonski,19/20,Ekstraklasa,2,0,0
699400,xavier-dziekonski,19/20,CLJ,17,0,3
