id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
238471,caye,quintana,21/22,2021-07-10,Cádiz CF,Slask Wroclaw,400000,free transfer
238471,caye,quintana,20/21,2021-06-30,Málaga CF,Cádiz CF,400000,End of loan
238471,caye,quintana,20/21,2020-09-07,Cádiz CF,Málaga CF,325000,loan transfer
238471,caye,quintana,19/20,2020-08-12,CF Fuenlabrada,Cádiz CF,325000,End of loan
238471,caye,quintana,19/20,2020-01-15,Cádiz CF,CF Fuenlabrada,400000,loan transfer
238471,caye,quintana,19/20,2019-07-01,Recr. Huelva,Cádiz CF,300000,free transfer
238471,caye,quintana,18/19,2018-07-02,Jumilla,Recr. Huelva,250000,free transfer
238471,caye,quintana,17/18,2017-08-02,RCD Mallorca B,Jumilla,200000,free transfer
238471,caye,quintana,16/17,2017-02-06,Racing,RCD Mallorca B,200000,free transfer
238471,caye,quintana,16/17,2016-08-26,R. Valladolid B,Racing,300000,free transfer
238471,caye,quintana,15/16,2015-07-10,Recr. Huelva,R. Valladolid B,0,free transfer
238471,caye,quintana,15/16,2015-07-01,Recr. Huelva B,Recr. Huelva,100000,0
238471,caye,quintana,13/14,2014-06-30,Écija Balompié,Recr. Huelva B,0,End of loan
238471,caye,quintana,13/14,2013-07-01,Recr. Huelva B,Écija Balompié,0,loan transfer
238471,caye,quintana,12/13,2012-07-01,Huelva U19,Recr. Huelva B,0,0
