id,name,dates,marketValue
225162,diogo-verdasca,2015-07-30,50000
225162,diogo-verdasca,2016-03-13,350000
225162,diogo-verdasca,2016-09-29,500000
225162,diogo-verdasca,2017-06-29,500000
225162,diogo-verdasca,2017-12-31,600000
225162,diogo-verdasca,2018-05-29,700000
225162,diogo-verdasca,2019-02-18,700000
225162,diogo-verdasca,2019-06-28,600000
225162,diogo-verdasca,2019-12-27,600000
225162,diogo-verdasca,2020-04-07,475000
225162,diogo-verdasca,2020-07-06,600000
225162,diogo-verdasca,2020-12-25,500000
225162,diogo-verdasca,2021-05-28,400000
225162,diogo-verdasca,2021-12-30,500000
225162,diogo-verdasca,2022-06-13,400000
225162,diogo-verdasca,2022-09-28,350000
225162,diogo-verdasca,2022-11-15,250000
