id,name,season,competition,gamesPlayed,goals
483461,erik-exposito,2022,Ekstraklasa,17,4
483461,erik-exposito,2022,Fortuna Puchar Polski,3,3
483461,erik-exposito,2021,Ekstraklasa,28,11
483461,erik-exposito,2021,UECL Kwalifikacje,5,1
483461,erik-exposito,2021,Fortuna Puchar Polski,1,0
483461,erik-exposito,2020,Ekstraklasa,27,9
483461,erik-exposito,2019,Ekstraklasa,35,8
483461,erik-exposito,2019,Fortuna Puchar Polski,1,0
483461,erik-exposito,2018,2ª B - Grupo I,15,3
483461,erik-exposito,2018,LaLiga2,7,0
483461,erik-exposito,2018,Puchar Króla,3,0
483461,erik-exposito,2017,2ª B - Grupo IV,24,8
483461,erik-exposito,2017,LaLiga,9,1
483461,erik-exposito,2016,LaLiga,2,0
