id,name,season,competition,gamesPlayed,goals
621567,kacper-radkowski,2022,eWinner 2 liga,9,0
621567,kacper-radkowski,2022,Fortuna Puchar Polski,1,0
621567,kacper-radkowski,2021,eWinner 2 liga,17,0
621567,kacper-radkowski,2021,Fortuna Puchar Polski,1,0
621567,kacper-radkowski,2021,UECL Kwalifikacje,-,0
621567,kacper-radkowski,2021,Ekstraklasa,-,0
621567,kacper-radkowski,2020,Fortuna 1 Liga,9,0
621567,kacper-radkowski,2020,Fortuna Puchar Polski,1,0
621567,kacper-radkowski,2019,Fortuna 1 Liga,23,0
621567,kacper-radkowski,2019,Fortuna Puchar Polski,1,0
621567,kacper-radkowski,2018,Ekstraklasa,2,0
621567,kacper-radkowski,2018,Fortuna Puchar Polski,-,0
