id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
397854,patryk,janasik,22/23,Ekstraklasa,15,0,1173
397854,patryk,janasik,22/23,Fortuna Puchar Polski,2,1,103
397854,patryk,janasik,21/22,Ekstraklasa,24,1,1779
397854,patryk,janasik,21/22,UECL Kwalifikacje,6,1,437
397854,patryk,janasik,20/21,Ekstraklasa,17,1,1197
397854,patryk,janasik,20/21,Fortuna Puchar Polski,1,0,70
397854,patryk,janasik,19/20,1 Liga,31,2,2564
397854,patryk,janasik,19/20,Fortuna Puchar Polski,1,0,4
397854,patryk,janasik,18/19,Fortuna 1 Liga,14,0,1187
397854,patryk,janasik,18/19,Fortuna Puchar Polski,2,0,94
397854,patryk,janasik,17/18,eWinner 2 liga,25,2,1965
397854,patryk,janasik,17/18,Fortuna Puchar Polski,2,0,171
397854,patryk,janasik,16/17,3 Liga - Grupa II,29,2,2395
397854,patryk,janasik,15/16,CLJ - Grupa Zachodnia,1,0,65
397854,patryk,janasik,14/15,CLJ - Runda Finałowa,2,0,73
