season,date,sourceTeam,destTeam,marketValue,price
22/23,2023-01-26,Doxa Katokopias,Stal Mielec,300000,free transfer
22/23,2022-08-30,Huddersfield,Doxa Katokopias,300000,free transfer
20/21,2020-10-18,Without Club,Huddersfield,300000,free transfer
19/20,2020-01-31,CF Fuenlabrada,Without Club,300000,-
19/20,2019-08-05,Córdoba CF,CF Fuenlabrada,300000,free transfer
17/18,2017-07-01,RCD Mallorca,Córdoba CF,300000,free transfer
13/14,2013-07-01,RCD Mallorca B,RCD Mallorca,-,-
12/13,2012-07-01,Depor. Alavés B,RCD Mallorca B,-,free transfer
11/12,2012-06-30,Sestao River,Depor. Alavés B,-,End of loan
11/12,2012-01-01,Depor. Alavés B,Sestao River,-,loan transfer
10/11,2010-07-01,Alavés U19,Depor. Alavés B,-,-
