id,name,season,competition,gamesPlayed,goals
315511,arkadiusz-kasperkiewicz,2022,Ekstraklasa,17,1
315511,arkadiusz-kasperkiewicz,2022,Fortuna Puchar Polski,2,0
315511,arkadiusz-kasperkiewicz,2021,Fortuna 1 Liga,18,0
315511,arkadiusz-kasperkiewicz,2021,Ekstraklasa,13,1
315511,arkadiusz-kasperkiewicz,2021,Fortuna Puchar Polski,2,0
315511,arkadiusz-kasperkiewicz,2020,Fortuna 1 Liga,26,0
315511,arkadiusz-kasperkiewicz,2020,Fortuna Puchar Polski,5,0
315511,arkadiusz-kasperkiewicz,2020,Baraze o udzial w Ekstraklasie,1,0
315511,arkadiusz-kasperkiewicz,2019,Ekstraklasa,5,0
315511,arkadiusz-kasperkiewicz,2019,Fortuna Puchar Polski,-,0
315511,arkadiusz-kasperkiewicz,2018,Fortuna 1 Liga,31,2
315511,arkadiusz-kasperkiewicz,2018,Fortuna Puchar Polski,4,0
315511,arkadiusz-kasperkiewicz,2017,Fortuna 1 Liga,27,1
315511,arkadiusz-kasperkiewicz,2017,Fortuna Puchar Polski,1,0
315511,arkadiusz-kasperkiewicz,2016,Fortuna 1 Liga,20,0
315511,arkadiusz-kasperkiewicz,2016,Fortuna Puchar Polski,-,0
315511,arkadiusz-kasperkiewicz,2015,Fortuna 1 Liga,8,0
315511,arkadiusz-kasperkiewicz,2014,Fortuna 1 Liga,14,0
315511,arkadiusz-kasperkiewicz,2013,Ekstraklasa,-,0
