id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
166743,bogdan,vastsuk,22/23,2023-01-05,Stal Mielec,Sligo Rovers,200000,0
166743,bogdan,vastsuk,22/23,2022-07-20,FCI Levadia,Stal Mielec,400000,0
166743,bogdan,vastsuk,21/22,2022-03-08,Vorskla Poltava,FCI Levadia,400000,End of loan
166743,bogdan,vastsuk,21/22,2022-02-08,FCI Levadia,Vorskla Poltava,400000,loan transfer
166743,bogdan,vastsuk,19/20,2019-08-23,Riga,FCI Levadia,400000,free transfer
166743,bogdan,vastsuk,18/19,2019-06-30,Levski Sofia,Riga,400000,End of loan
166743,bogdan,vastsuk,18/19,2018-08-21,Riga,Levski Sofia,75000,loan transfer
166743,bogdan,vastsuk,16/17,2016-08-22,Reading U21,Riga,0,free transfer
166743,bogdan,vastsuk,15/16,2016-06-30,Farnborough,Reading U21,0,End of loan
166743,bogdan,vastsuk,15/16,2015-10-27,Reading U21,Farnborough,0,loan transfer
166743,bogdan,vastsuk,14/15,2014-08-01,Reading U18,Reading U21,0,0
166743,bogdan,vastsuk,13/14,2013-08-31,Akademia Dynamo,Reading U18,0,0
166743,bogdan,vastsuk,11/12,2012-01-01,FC Infonet,Akademia Dynamo,0,0
166743,bogdan,vastsuk,10/11,2011-01-01,FC Infonet U19,FC Infonet,0,0
