id,name,season,competition,gamesPlayed,goals,minutes
166743,bogdan-vastsuk,22/23,Ekstraklasa,5,0,154
166743,bogdan-vastsuk,22/23,Fortuna Puchar Polski,1,1,67
166743,bogdan-vastsuk,2022,Premium Liiga,12,2,932
166743,bogdan-vastsuk,21/22,Eesti Karikas,1,0,33
166743,bogdan-vastsuk,21/22,UECL Kwalifikacje,2,2,124
166743,bogdan-vastsuk,2021,Premium Liiga,26,6,2088
166743,bogdan-vastsuk,20/21,Eesti Karikas,5,3,423
166743,bogdan-vastsuk,2020,Premium Liiga,27,7,2179
166743,bogdan-vastsuk,19/20,Eesti Karikas,1,3,90
166743,bogdan-vastsuk,2019,Premium Liiga,6,0,258
166743,bogdan-vastsuk,18/19,Efbet liga - Championship gr.,4,0,105
166743,bogdan-vastsuk,18/19,efbet Liga,6,0,108
166743,bogdan-vastsuk,18/19,Bulgarian Cup,1,0,90
166743,bogdan-vastsuk,18/19,Kwalifikacje do Ligi Europy,1,0,120
166743,bogdan-vastsuk,2018,Virsliga,9,0,599
166743,bogdan-vastsuk,17/18,Puchar Lotwy,1,0,31
166743,bogdan-vastsuk,2017,Virsliga,22,8,1339
166743,bogdan-vastsuk,16/17,Puchar Lotwy,6,1,409
166743,bogdan-vastsuk,2016,Virsliga,5,3,326
166743,bogdan-vastsuk,14/15,U21 PL,1,0,83
166743,bogdan-vastsuk,13/14,U21 PL,1,0,90
166743,bogdan-vastsuk,2011,Esiliiga,13,3,935
