id,name,season,competition,gamesPlayed,goals
194139,fabian-hiszpanski,2022,Ekstraklasa,17,1
194139,fabian-hiszpanski,2022,Fortuna Puchar Polski,2,0
194139,fabian-hiszpanski,2021,Fortuna 1 Liga,18,1
194139,fabian-hiszpanski,2021,Fortuna Puchar Polski,3,0
194139,fabian-hiszpanski,2021,Baraze o udzial w Ekstraklasie,1,0
194139,fabian-hiszpanski,2020,Fortuna 1 Liga,15,0
194139,fabian-hiszpanski,2020,eWinner 2 liga,15,2
194139,fabian-hiszpanski,2020,Fortuna Puchar Polski,3,0
194139,fabian-hiszpanski,2020,Baraze o udzial w Ekstraklasie,1,0
194139,fabian-hiszpanski,2019,3 Liga - Grupa II,11,1
194139,fabian-hiszpanski,2018,Fortuna 1 Liga,9,0
