id,name,season,competition,gamesPlayed,goals,minutes
688708,koki-hinokio,22/23,Ekstraklasa,1,0,79
688708,koki-hinokio,22/23,Ekstraklasa,8,0,268
688708,koki-hinokio,22/23,Fortuna Puchar Polski,2,0,210
688708,koki-hinokio,22/23,eWinner 2 liga,6,0,394
688708,koki-hinokio,21/22,Ekstraklasa,7,0,447
688708,koki-hinokio,21/22,Ekstraklasa,14,1,793
688708,koki-hinokio,21/22,Fortuna Puchar Polski,1,0,63
688708,koki-hinokio,21/22,3 Liga - Grupa III,3,0,221
688708,koki-hinokio,20/21,1 Liga,31,5,2422
688708,koki-hinokio,20/21,Fortuna Puchar Polski,1,0,90
688708,koki-hinokio,19/20,1 Liga,18,2,1025
688708,koki-hinokio,19/20,Fortuna Puchar Polski,1,0,23
