id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
281376,maciej,domanski,19/20,2020-01-29,Rakow,Stal Mielec,200000,free transfer
281376,maciej,domanski,18/19,2018-07-01,P. Niepolomice,Rakow,150000,free transfer
281376,maciej,domanski,15/16,2016-01-21,Siarka T.,P. Niepolomice,0,free transfer
281376,maciej,domanski,15/16,2015-07-10,Stal Mielec,Siarka T.,100000,0
281376,maciej,domanski,12/13,2012-07-01,Radomiak,Stal Mielec,0,free transfer
281376,maciej,domanski,11/12,2011-07-01,Stal Mielec,Radomiak,0,free transfer
281376,maciej,domanski,10/11,2011-01-01,Polonia II,Stal Mielec,0,free transfer
281376,maciej,domanski,08/09,2009-01-01,Stal Mielec,Polonia II,0,free transfer
281376,maciej,domanski,07/08,2007-07-01,Mielec U19,Stal Mielec,0,0
281376,maciej,domanski,06/07,2006-07-01,Rzeszow U19,Mielec U19,0,free transfer
