id,name,dates,marketValue
187973,marcin-flis,2013-05-22,50000
187973,marcin-flis,2013-08-25,100000
187973,marcin-flis,2013-10-07,125000
187973,marcin-flis,2014-07-20,150000
187973,marcin-flis,2015-03-04,150000
187973,marcin-flis,2015-06-29,200000
187973,marcin-flis,2016-01-16,150000
187973,marcin-flis,2016-07-23,150000
187973,marcin-flis,2017-01-20,150000
187973,marcin-flis,2017-07-04,150000
187973,marcin-flis,2018-01-24,100000
187973,marcin-flis,2018-07-02,75000
187973,marcin-flis,2019-02-20,50000
187973,marcin-flis,2019-07-17,100000
187973,marcin-flis,2020-02-27,100000
187973,marcin-flis,2021-01-18,150000
187973,marcin-flis,2021-05-20,300000
187973,marcin-flis,2021-12-30,400000
187973,marcin-flis,2022-04-06,500000
187973,marcin-flis,2022-06-13,500000
187973,marcin-flis,2022-09-28,400000
187973,marcin-flis,2022-11-15,500000
